kind,hours,gate,threshold,beta,applied,wmape_3m,wmape_14d,wmape_all,rolling,stat
hourbias,peakerr,wmape,40,-0.2,384,6.002665531626082,10.309559440084053,6.065968379318302,8,mean
hourbias,nooneve,wmape,10,0.05,708,6.003673387591134,10.326351470538167,6.066963591755839,3,mean
hourbias,evening,none,0,0.2,460,6.003720674834647,10.314682916976743,6.0670102857820805,13,mean
hourbias,night,wmape,10,0.15,239,6.003726954481565,10.317745795524063,6.067016486650987,5,mean
hourbias,evening,none,0,0.15,460,6.003818382599843,10.313528161599217,6.06710676780584,13,mean
hourbias,all,wmape,10,0.03,900,6.003844718536683,10.322072352674883,6.06713277335902,3,mean
hourbias,nooneve,wmape,10,0.03,708,6.003891962937761,10.319324320622888,6.067179425080285,3,mean
hourbias,day,wmape,10,0.3,489,6.004022428672688,10.328314037392538,6.067308254125877,21,median
hourbias,evening,absbias,50,0.2,299,6.004094725698898,10.315040682991436,6.067379644187727,13,mean
hourbias,evening,absbias,50,0.15,299,6.0041504921235775,10.313796486110235,6.067434711024023,13,mean
daybias,midday,absbias,250,0.3,24,6.004169183742445,10.324314618908817,6.067453168157008,8,mean
daybias,midday,absbias,250,0.3,24,6.004169183742445,10.324314618908817,6.067453168157008,14,mean
daybias,midday,absbias,250,0.3,24,6.004169183742445,10.324314618908817,6.067453168157008,21,mean
daybias,midday,absbias,250,0.3,24,6.004169183742445,10.324314618908817,6.067453168157008,30,mean
hourbias,nooneve,absbias,700,0.05,113,6.0041778557945,10.32679993373832,6.067461731418388,3,mean
hourbias,day,wmape,10,0.2,489,6.0042056546128375,10.325747006938633,6.067489181501256,21,median
hourbias,night,absbias,150,0.05,413,6.00421822954398,10.33323829417863,6.067501598680206,1,mean
hourbias,night,absbias,150,0.05,413,6.00421822954398,10.33323829417863,6.067501598680206,1,median
daybias,peakerr,absbias,250,0.3,52,6.0043234094314,10.324314618908817,6.067605459088606,8,mean
daybias,peakerr,absbias,250,0.3,52,6.0043234094314,10.324314618908817,6.067605459088606,14,mean
daybias,peakerr,absbias,250,0.3,52,6.0043234094314,10.324314618908817,6.067605459088606,21,mean
daybias,peakerr,absbias,250,0.3,52,6.0043234094314,10.324314618908817,6.067605459088606,30,mean
daybias,midday,absbias,400,0.15,54,6.004327769494123,10.33423324147605,6.067609764454451,1,mean
hourbias,night,wmape,10,0.2,239,6.004347848570489,10.32207527088571,6.067629591639315,5,mean
hourbias,evening,absbias,100,0.15,203,6.004430064914373,10.310992455377601,6.067710776581249,13,mean
hourbias,evening,absbias,100,0.2,203,6.00445634369235,10.311287659725604,6.067736725692624,13,mean
hourbias,day,wmape,10,0.3,480,6.004468678064331,10.32475166647244,6.067748905330221,34,median
hourbias,peakerr,wmape,40,-0.15,384,6.004500518311152,10.313434510447788,6.067780346141953,8,mean
hourbias,night,absbias,100,0.05,464,6.004505349033811,10.33545371591751,6.067785116263318,1,mean
hourbias,night,absbias,100,0.05,464,6.004505349033811,10.33545371591751,6.067785116263318,1,median
hourbias,all,absbias,500,0.05,108,6.004515069523317,10.302737374189014,6.06779471480953,5,median
hourbias,all,wmape,10,0.05,900,6.004523505889016,10.33526813178808,6.067803045341236,3,mean
hourbias,peakerr,wmape,40,-0.2,432,6.004573075250752,10.3185884865105,6.067851992856586,13,mean
hourbias,all,absbias,500,0.05,203,6.004591339135802,10.323016569523526,6.067870027621661,5,mean
hourbias,peakerr,wmape,50,-0.2,358,6.0045951802627044,10.31648914055415,6.067873820561725,8,mean
hourbias,all,absbias,400,0.05,173,6.004639520324289,10.3069771801177,6.067917604378362,5,median
daybias,peakerr,absbias,50,0.3,364,6.0046593916703515,10.32720050861822,6.067937226438891,30,mean
hourbias,all,wmape,10,0.02,900,6.00469607879919,10.318289115493618,6.06797345332863,3,mean
hourbias,day,wmape,10,0.2,480,6.00469720077775,10.324605983951232,6.067974561231997,34,median
hourbias,nooneve,wmape,10,0.05,784,6.004713831852756,10.318644418238547,6.067990983670589,5,mean
hourbias,night,absbias,400,0.05,216,6.00475926001292,10.339379862862218,6.068035841935636,1,mean
hourbias,night,absbias,400,0.05,216,6.00475926001292,10.339379862862218,6.068035841935636,1,median
hourbias,night,absbias,50,0.05,543,6.004801258747911,10.336267075605015,6.068077313797563,1,mean
hourbias,night,absbias,50,0.05,543,6.004801258747911,10.336267075605015,6.068077313797563,1,median
hourbias,night,wmape,5,0.05,323,6.004838860481219,10.337465631651549,6.06811444381808,1,mean
hourbias,night,wmape,5,0.05,323,6.004838860481219,10.337465631651549,6.06811444381808,1,median
hourbias,night,wmape,10,0.1,239,6.004861457066548,10.318070044356753,6.068136756929818,5,mean
hourbias,night,absbias,250,0.05,324,6.004898322002255,10.33492379877089,6.068173159395841,1,mean
hourbias,night,absbias,250,0.05,324,6.004898322002255,10.33492379877089,6.068173159395841,1,median
hourbias,peakerr,wmape,50,-0.2,417,6.00491809681,10.317033415518196,6.068192686129125,13,mean
daybias,peakerr,absbias,150,0.15,260,6.0049202716534325,10.306935263530566,6.068194833689203,5,mean
hourbias,peakerr,absbias,500,0.05,144,6.004948772899846,10.32008583600215,6.068222977388204,5,mean
hourbias,night,none,0,0.05,736,6.004989168602827,10.336480960395095,6.068262866328113,1,mean
hourbias,night,none,0,0.05,736,6.004989168602827,10.336480960395095,6.068262866328113,1,median
daybias,11-15,absbias,400,0.15,45,6.004994538489865,10.327885727321698,6.0682681688500555,1,mean
hourbias,nooneve,wmape,10,0.02,708,6.004997635934681,10.317844699026779,6.0682712274375055,3,mean
daybias,lowday,absbias,250,0.3,28,6.005012536447162,10.324314618908817,6.0682859410234355,8,mean
daybias,10-16,absbias,250,0.3,28,6.005012536447162,10.324314618908817,6.0682859410234355,8,mean
daybias,lowday,absbias,250,0.3,28,6.005012536447162,10.324314618908817,6.0682859410234355,14,mean
daybias,10-16,absbias,250,0.3,28,6.005012536447162,10.324314618908817,6.0682859410234355,14,mean
daybias,lowday,absbias,250,0.3,28,6.005012536447162,10.324314618908817,6.0682859410234355,21,mean
daybias,10-16,absbias,250,0.3,28,6.005012536447162,10.324314618908817,6.0682859410234355,21,mean
daybias,lowday,absbias,250,0.3,28,6.005012536447162,10.324314618908817,6.0682859410234355,30,mean
daybias,10-16,absbias,250,0.3,28,6.005012536447162,10.324314618908817,6.0682859410234355,30,mean
hourbias,nooneve,absbias,700,0.03,113,6.005012612641372,10.323044529079683,6.068286016261791,3,mean
hourbias,nooneve,absbias,250,0.05,274,6.005020538387247,10.314615719034352,6.068293842579384,5,median
hourbias,evening,absbias,500,0.1,44,6.005031563656833,10.292178740680969,6.0683047295372425,3,median
hourbias,all,wmape,10,0.05,982,6.0050474196500945,10.315984470754792,6.06832038661747,5,mean
hourbias,evening,none,0,0.1,460,6.005048456610278,10.31377799070015,6.068321410569015,13,mean
daybias,peakerr,absbias,50,0.2,364,6.0050699206026,10.326238545381756,6.068342605296097,30,mean
hourbias,nooneve,wmape,8,0.03,814,6.005085754988442,10.318834530240432,6.068358241039971,3,mean
hourbias,all,absbias,400,0.05,299,6.00510601427476,10.299349707249062,6.068378246174056,3,median
hourbias,all,absbias,250,0.05,361,6.005122161010535,10.31030844115666,6.068394190349439,5,median
hourbias,night,wmape,30,0.3,42,6.005122661529104,10.316579673017642,6.068394684589016,34,mean
daybias,peakerr,absbias,250,0.15,156,6.005138384061271,10.313057532772994,6.068410209882417,3,mean
daybias,midday,absbias,400,0.1,54,6.005171905571206,10.326757162127052,6.0684433108658595,1,mean
hourbias,nooneve,absbias,400,0.03,294,6.005184432769489,10.318909993224565,6.068455680910759,3,mean
hourbias,all,absbias,150,0.05,577,6.005187893204946,10.313235766386999,6.068459097935139,21,mean
daybias,11-15,absbias,250,0.3,60,6.005197749052646,10.297797577389682,6.06846883014148,3,mean
hourbias,11-15,wmape,12,0.2,420,6.005211126447025,10.32594615731521,6.068482039716787,21,median
hourbias,nooneve,absbias,500,0.03,206,6.005221104380485,10.319059150886975,6.068491892477327,3,mean
daybias,peakerr,absbias,150,0.2,260,6.005238591790951,10.30708557920018,6.068509160508671,5,mean
hourbias,all,wmape,10,0.03,982,6.005247073261157,10.314234765396446,6.068517535579048,5,mean
hourbias,nooneve,absbias,500,0.05,152,6.005249826006336,10.327041961071075,6.068520253791109,5,mean
hourbias,nooneve,wmape,12,0.03,626,6.005280834032659,10.31701090942195,6.068550872822526,3,mean
hourbias,day,wmape,12,0.2,457,6.005283785451606,10.326211336870504,6.068553787215998,21,median
hourbias,lowday,wmape,12,0.2,457,6.005283785451606,10.326211336870504,6.068553787215998,21,median
hourbias,10-16,wmape,12,0.2,457,6.005283785451606,10.326211336870504,6.068553787215998,21,median
hourbias,evening,absbias,500,0.15,44,6.005286380425357,10.291964616979511,6.068556349635869,3,median
hourbias,evening,absbias,50,0.1,299,6.005299446116323,10.313956873707495,6.068569251418073,13,mean
hourbias,all,absbias,500,0.03,203,6.005304497694117,10.319858841234344,6.0685742396239535,5,mean
hourbias,all,wmape,50,-0.2,491,6.005310850720037,10.317033415518196,6.068580512951323,13,mean
hourbias,midday,wmape,12,0.2,455,6.005328893249537,10.326211336870504,6.068598329137748,21,median
hourbias,peakerr,none,0,0.05,1196,6.005332491699884,10.319774931112999,6.068601882445627,21,mean
hourbias,all,wmape,40,-0.2,513,6.00533799510583,10.3185884865105,6.068607316811484,13,mean
hourbias,night,wmape,10,0.1,222,6.00534357402915,10.326045801472821,6.068612825747354,3,mean
hourbias,all,wmape,12,0.03,757,6.0053573015462405,10.338323236716704,6.068626381053091,2,mean
hourbias,all,wmape,12,0.03,757,6.0053573015462405,10.338323236716704,6.068626381053091,2,median
hourbias,nooneve,wmape,25,0.05,234,6.005375356633698,10.301192406524597,6.068644209639934,3,median
daybias,peakerr,absbias,250,0.1,156,6.005411156731319,10.313512197083922,6.06867956062624,3,mean
hourbias,night,wmape,10,0.08,198,6.005414201952403,10.32374303223988,6.068682567645101,2,mean
hourbias,night,wmape,10,0.08,198,6.005414201952403,10.32374303223988,6.068682567645101,2,median
daybias,midday,absbias,250,0.3,72,6.00543717811487,10.309956565867076,6.068705255572193,3,mean
hourbias,nooneve,wmape,10,0.03,784,6.005457668766899,10.31816404017186,6.06872548916951,5,mean
hourbias,night,wmape,10,0.08,239,6.005468072532978,10.31844153596062,6.068735762420609,5,mean
hourbias,peakerr,absbias,150,0.05,400,6.0054684051011415,10.317221159745916,6.068736090816712,21,mean
hourbias,nooneve,absbias,500,0.05,206,6.005470444523833,10.325300826610842,6.068738104654897,3,mean
hourbias,all,wmape,8,0.05,796,6.005483736651554,10.304310596777942,6.0687512300332145,5,median
hourbias,night,absbias,700,0.05,108,6.005486565304195,10.326794718043999,6.068754023200482,1,mean
hourbias,night,absbias,700,0.05,108,6.005486565304195,10.326794718043999,6.068754023200482,1,median
hourbias,all,absbias,400,0.03,299,6.005488744977376,10.30581884871684,6.0687561755297175,3,median
daybias,11-15,wmape,10,0.3,65,6.00549079164137,10.308799444291996,6.068758196518362,3,mean
hourbias,all,wmape,10,0.03,853,6.005502797204236,10.343781006387626,6.068770051471747,2,mean
hourbias,all,wmape,10,0.03,853,6.005502797204236,10.343781006387626,6.068770051471747,2,median
hourbias,night,wmape,12,0.05,152,6.0055049172004304,10.324277910522193,6.068772144872643,1,mean
hourbias,night,wmape,12,0.05,152,6.0055049172004304,10.324277910522193,6.068772144872643,1,median
hourbias,peakerr,absbias,50,0.05,831,6.005505640867486,10.319951258609814,6.068772859461312,21,mean
hourbias,evening,absbias,100,0.1,203,6.005509935436024,10.312101835508058,6.068777100154597,13,mean
daybias,peakerr,absbias,250,0.2,156,6.005515922459814,10.313373587245337,6.068783012071326,3,mean
hourbias,nooneve,absbias,100,0.03,956,6.00553830798181,10.32398168095456,6.068805116767518,3,mean
hourbias,nooneve,wmape,5,0.03,1039,6.005557552119631,10.323328590981829,6.068824119488117,3,mean
hourbias,all,absbias,500,0.08,108,6.005570863044512,10.298401389998064,6.068837263427783,5,median
hourbias,all,wmape,8,0.03,1036,6.005571201565356,10.323942089353515,6.068837597701891,3,mean
hourbias,night,wmape,15,0.05,122,6.005572498181721,10.329993915147861,6.068838878052237,1,mean
hourbias,night,wmape,15,0.05,122,6.005572498181721,10.329993915147861,6.068838878052237,1,median
hourbias,all,absbias,700,0.03,152,6.0055741390511646,10.32613289404302,6.068840498337014,3,mean
hourbias,day,wmape,10,0.15,489,6.005574533081158,10.32497683940191,6.068840887423912,21,median
hourbias,all,absbias,500,0.03,277,6.005580950445276,10.322891097121857,6.068847224282361,3,mean
hourbias,11-15,wmape,12,0.3,420,6.005586272235947,10.328612762957402,6.068852479311302,21,median
daybias,peakerr,absbias,150,0.1,260,6.005590282676812,10.310108620885899,6.068856439441288,5,mean
hourbias,night,absbias,500,0.2,60,6.0055957672136415,10.350653478468374,6.0688618551747435,5,mean
hourbias,peakerr,wmape,40,-0.15,432,6.005601165217541,10.31989228456944,6.06886718546082,13,mean
daybias,11-15,absbias,400,0.1,45,6.005616418235035,10.322525486024151,6.068882247129595,1,mean
daybias,peakerr,none,0,0.2,1196,6.005623969064752,10.322479336749558,6.068889703234346,30,mean
hourbias,all,absbias,100,0.03,1284,6.005626850190827,10.330037893338888,6.068892548216769,3,mean
daybias,11-15,absbias,250,0.2,60,6.005632458366505,10.302579334024694,6.068898086038023,3,mean
hourbias,peakerr,absbias,500,0.03,144,6.005641951388044,10.319016883454069,6.068907459969848,5,mean
hourbias,all,absbias,100,0.02,1284,6.005643815067412,10.323545021587387,6.0689093002694054,3,mean
hourbias,all,none,0,0.05,2208,6.005644494152901,10.318167701563672,6.0689099708357865,21,mean
hourbias,all,absbias,500,0.05,208,6.005648248614234,10.302309934963429,6.068913678197497,3,median
daybias,midday,absbias,400,0.2,54,6.005651114664483,10.348147922469842,6.068916508293216,1,mean
hourbias,all,wmape,25,0.05,333,6.005653242604124,10.303010307034334,6.06891860953791,3,median
hourbias,nooneve,absbias,250,0.05,434,6.005655413076556,10.324661562843756,6.06892075278182,5,mean
hourbias,peakerr,absbias,50,0.05,848,6.005659364111375,10.317739909078043,6.068924654251007,34,mean
hourbias,night,absbias,150,0.03,413,6.0056680496517805,10.327763122386347,6.0689332308315285,1,mean
