kind,hours,gate,threshold,beta,applied,wmape_3m,wmape_14d,wmape_all,rolling,stat
hourbias,all,wmape,40,-0.15,315,6.0099611107055875,10.329028497807803,6.073172435543311,2,mean
hourbias,all,wmape,40,-0.15,315,6.0099611107055875,10.329028497807803,6.073172435543311,2,median
hourbias,peakerr,wmape,40,-0.15,260,6.010044044630683,10.324314618908817,6.073254329064421,2,mean
hourbias,peakerr,wmape,40,-0.15,260,6.010044044630683,10.324314618908817,6.073254329064421,2,median
hourbias,peakerr,wmape,40,-0.2,260,6.010337254700817,10.332892118212357,6.07354386082166,2,mean
hourbias,peakerr,wmape,40,-0.2,260,6.010337254700817,10.332892118212357,6.07354386082166,2,median
hourbias,all,wmape,40,-0.1,315,6.010805933651898,10.322384896701783,6.07400666020719,2,mean
hourbias,all,wmape,40,-0.1,315,6.010805933651898,10.322384896701783,6.07400666020719,2,median
hourbias,all,wmape,40,-0.2,315,6.011580252807478,10.344623517535132,6.074771265548605,2,mean
hourbias,all,wmape,40,-0.2,315,6.011580252807478,10.344623517535132,6.074771265548605,2,median
hourbias,peakerr,wmape,40,-0.1,260,6.011749026238368,10.324688538226585,6.074937921721085,2,mean
hourbias,peakerr,wmape,40,-0.1,260,6.011749026238368,10.324688538226585,6.074937921721085,2,median
hourbias,peakerr,wmape,40,-0.3,372,6.012091659484094,10.33123519829242,6.075276256641434,8,mean
hourbias,all,wmape,40,-0.08,315,6.012134554865279,10.324578508390234,6.075318613901148,2,mean
hourbias,all,wmape,40,-0.08,315,6.012134554865279,10.324578508390234,6.075318613901148,2,median
hourbias,peakerr,wmape,40,-0.3,260,6.012356334148417,10.353323878196901,6.075537610968806,2,mean
hourbias,peakerr,wmape,40,-0.3,260,6.012356334148417,10.353323878196901,6.075537610968806,2,median
hourbias,peakerr,wmape,50,-0.3,349,6.0126014171486215,10.332460641583232,6.07577961940899,8,mean
hourbias,all,wmape,50,-0.15,269,6.012721318588848,10.321517929654332,6.075898016688689,2,mean
hourbias,all,wmape,50,-0.15,269,6.012721318588848,10.321517929654332,6.075898016688689,2,median
hourbias,all,wmape,50,-0.1,269,6.012944394359088,10.318780628756477,6.076118293979051,2,mean
hourbias,all,wmape,50,-0.1,269,6.012944394359088,10.318780628756477,6.076118293979051,2,median
hourbias,peakerr,wmape,40,-0.08,260,6.013407615184723,10.329689158084552,6.076575703711177,2,mean
hourbias,peakerr,wmape,40,-0.08,260,6.013407615184723,10.329689158084552,6.076575703711177,2,median
hourbias,peakerr,wmape,40,-0.2,372,6.013669150976786,10.33781399618342,6.0768339585433635,8,mean
hourbias,day,wmape,30,-0.15,311,6.01371023438324,10.33254788726187,6.076874526559526,2,mean
hourbias,day,wmape,30,-0.15,311,6.01371023438324,10.33254788726187,6.076874526559526,2,median
hourbias,midday,wmape,25,-0.15,305,6.013820206981222,10.341102414934095,6.076983119554056,2,mean
hourbias,midday,wmape,25,-0.15,305,6.013820206981222,10.341102414934095,6.076983119554056,2,median
hourbias,day,wmape,30,-0.1,311,6.013830352081723,10.32811196284489,6.076993137384528,2,mean
hourbias,day,wmape,30,-0.1,311,6.013830352081723,10.32811196284489,6.076993137384528,2,median
hourbias,peakerr,wmape,50,-0.15,223,6.013981545049011,10.329408019463933,6.077142433639876,2,mean
hourbias,peakerr,wmape,50,-0.15,223,6.013981545049011,10.329408019463933,6.077142433639876,2,median
hourbias,all,wmape,50,-0.08,269,6.014010606561345,10.322943455673176,6.077171130576276,2,mean
hourbias,all,wmape,50,-0.08,269,6.014010606561345,10.322943455673176,6.077171130576276,2,median
hourbias,peakerr,wmape,50,-0.2,349,6.014084232674636,10.337979578588845,6.077243833051844,8,mean
hourbias,all,wmape,50,-0.2,269,6.014414129844373,10.333206649173498,6.077569591669953,2,mean
hourbias,all,wmape,50,-0.2,269,6.014414129844373,10.333206649173498,6.077569591669953,2,median
hourbias,day,wmape,30,-0.08,311,6.014428342574286,10.328522538072802,6.077583626101531,2,mean
hourbias,day,wmape,30,-0.08,311,6.014428342574286,10.328522538072802,6.077583626101531,2,median
hourbias,peakerr,wmape,50,-0.1,223,6.0146463693250976,10.329486916087005,6.0777989177122835,2,mean
hourbias,peakerr,wmape,50,-0.1,223,6.0146463693250976,10.329486916087005,6.0777989177122835,2,median
hourbias,peakerr,wmape,40,-0.3,426,6.014646924118218,10.350761210082927,6.077799465545539,13,mean
hourbias,lowday,wmape,30,-0.15,305,6.0146839907924,10.337749559071224,6.0778360672192315,2,mean
hourbias,10-16,wmape,30,-0.15,305,6.0146839907924,10.337749559071224,6.0778360672192315,2,mean
hourbias,lowday,wmape,30,-0.15,305,6.0146839907924,10.337749559071224,6.0778360672192315,2,median
hourbias,10-16,wmape,30,-0.15,305,6.0146839907924,10.337749559071224,6.0778360672192315,2,median
hourbias,nooneve,wmape,40,-0.1,224,6.014707374285918,10.333248487113062,6.077859157367419,2,mean
hourbias,nooneve,wmape,40,-0.1,224,6.014707374285918,10.333248487113062,6.077859157367419,2,median
hourbias,peakerr,wmape,30,-0.1,302,6.014807013871798,10.320092112712,6.07795754697722,2,mean
hourbias,peakerr,wmape,30,-0.1,302,6.014807013871798,10.320092112712,6.07795754697722,2,median
hourbias,midday,wmape,25,-0.1,305,6.014892860873149,10.3428810105695,6.078042317030118,2,mean
hourbias,midday,wmape,25,-0.1,305,6.014892860873149,10.3428810105695,6.078042317030118,2,median
hourbias,nooneve,wmape,40,-0.15,224,6.014928755072611,10.343840393729167,6.078077760937757,2,mean
hourbias,nooneve,wmape,40,-0.15,224,6.014928755072611,10.343840393729167,6.078077760937757,2,median
hourbias,peakerr,wmape,50,-0.3,409,6.0149465023673025,10.349325976035768,6.078095285593086,13,mean
hourbias,all,wmape,40,-0.05,315,6.014992598425917,10.334002221271357,6.078140803377815,2,mean
hourbias,all,wmape,40,-0.05,315,6.014992598425917,10.334002221271357,6.078140803377815,2,median
hourbias,lowday,wmape,30,-0.1,305,6.015006775961627,10.335199545870124,6.078154803056702,2,mean
hourbias,10-16,wmape,30,-0.1,305,6.015006775961627,10.335199545870124,6.078154803056702,2,mean
hourbias,lowday,wmape,30,-0.1,305,6.015006775961627,10.335199545870124,6.078154803056702,2,median
hourbias,10-16,wmape,30,-0.1,305,6.015006775961627,10.335199545870124,6.078154803056702,2,median
hourbias,nooneve,wmape,50,-0.1,191,6.015055142844851,10.318847210413914,6.078202563178601,2,mean
hourbias,nooneve,wmape,50,-0.1,191,6.015055142844851,10.318847210413914,6.078202563178601,2,median
hourbias,peakerr,wmape,50,-0.2,223,6.0150923829875635,10.338280541462174,6.078239336144668,2,mean
hourbias,peakerr,wmape,50,-0.2,223,6.0150923829875635,10.338280541462174,6.078239336144668,2,median
hourbias,all,wmape,30,-0.1,379,6.015266856522775,10.316956617430423,6.078411620913805,2,mean
hourbias,all,wmape,30,-0.1,379,6.015266856522775,10.316956617430423,6.078411620913805,2,median
hourbias,midday,wmape,30,-0.15,277,6.0153319196826,10.34602785354205,6.0784758678579385,2,mean
hourbias,midday,wmape,30,-0.15,277,6.0153319196826,10.34602785354205,6.0784758678579385,2,median
hourbias,midday,wmape,25,-0.2,305,6.015332455987601,10.350958389111037,6.078476397435008,2,mean
hourbias,midday,wmape,25,-0.2,305,6.015332455987601,10.350958389111037,6.078476397435008,2,median
hourbias,nooneve,wmape,50,-0.15,191,6.015379451122908,10.323112807761442,6.078522803017536,2,mean
hourbias,nooneve,wmape,50,-0.15,191,6.015379451122908,10.323112807761442,6.078522803017536,2,median
hourbias,night,wmape,10,0.15,239,6.0153930419530175,10.351886109785895,6.0785362233510245,5,mean
hourbias,11-15,wmape,25,-0.15,276,6.015404022049715,10.346854342151794,6.078547065702689,2,mean
hourbias,11-15,wmape,25,-0.15,276,6.015404022049715,10.346854342151794,6.078547065702689,2,median
hourbias,12-13,wmape,30,-0.2,104,6.0154092845845994,10.330348557595784,6.078552262219207,2,mean
hourbias,12-13,wmape,30,-0.2,104,6.0154092845845994,10.330348557595784,6.078552262219207,2,median
hourbias,12-13,wmape,30,-0.15,104,6.015409627073479,10.329585793454694,6.078552600411573,2,mean
hourbias,12-13,wmape,30,-0.15,104,6.015409627073479,10.329585793454694,6.078552600411573,2,median
hourbias,all,wmape,30,-0.08,379,6.015417976417868,10.319112926362964,6.078560845013646,2,mean
hourbias,all,wmape,30,-0.08,379,6.015417976417868,10.319112926362964,6.078560845013646,2,median
hourbias,lowday,wmape,30,-0.08,305,6.015430571654743,10.334647814837844,6.078573282243595,2,mean
hourbias,10-16,wmape,30,-0.08,305,6.015430571654743,10.334647814837844,6.078573282243595,2,mean
hourbias,lowday,wmape,30,-0.08,305,6.015430571654743,10.334647814837844,6.078573282243595,2,median
hourbias,10-16,wmape,30,-0.08,305,6.015430571654743,10.334647814837844,6.078573282243595,2,median
hourbias,peakerr,wmape,30,-0.15,302,6.015433254059676,10.322538088901933,6.078575930997825,2,mean
hourbias,peakerr,wmape,30,-0.15,302,6.015433254059676,10.322538088901933,6.078575930997825,2,median
hourbias,morning,wmape,50,-0.15,35,6.015436118560252,10.31377072717072,6.078578759563314,2,mean
hourbias,7-10,wmape,50,-0.15,35,6.015436118560252,10.31377072717072,6.078578759563314,2,mean
hourbias,8-10,wmape,50,-0.15,35,6.015436118560252,10.31377072717072,6.078578759563314,2,mean
hourbias,morning,wmape,50,-0.15,35,6.015436118560252,10.31377072717072,6.078578759563314,2,median
hourbias,7-10,wmape,50,-0.15,35,6.015436118560252,10.31377072717072,6.078578759563314,2,median
hourbias,8-10,wmape,50,-0.15,35,6.015436118560252,10.31377072717072,6.078578759563314,2,median
hourbias,nooneve,wmape,40,-0.08,224,6.015453638953901,10.334269471742461,6.078596060164069,2,mean
hourbias,nooneve,wmape,40,-0.08,224,6.015453638953901,10.334269471742461,6.078596060164069,2,median
hourbias,evening,none,0,0.2,460,6.015469640621388,10.348823231238576,6.078611861091045,13,mean
hourbias,peakerr,wmape,40,-0.15,372,6.015500632330655,10.342548893482263,6.078642464010106,8,mean
hourbias,evening,none,0,0.15,460,6.015567348386584,10.347668475861047,6.078708343114806,13,mean
hourbias,peakerr,wmape,30,-0.08,302,6.015588173545187,10.324889059062702,6.078728907022322,2,mean
hourbias,peakerr,wmape,30,-0.08,302,6.015588173545187,10.324889059062702,6.078728907022322,2,median
hourbias,lowday,wmape,25,-0.1,335,6.015651510536786,10.330206343186715,6.078791449452967,2,mean
hourbias,10-16,wmape,25,-0.1,335,6.015651510536786,10.330206343186715,6.078791449452967,2,mean
hourbias,lowday,wmape,25,-0.1,335,6.015651510536786,10.330206343186715,6.078791449452967,2,median
hourbias,10-16,wmape,25,-0.1,335,6.015651510536786,10.330206343186715,6.078791449452967,2,median
hourbias,peakerr,wmape,40,-0.15,270,6.015657445324701,10.35923181962582,6.078797309789119,3,mean
hourbias,11-15,wmape,40,-0.3,215,6.01568289028217,10.363744205663183,6.07882243554024,2,mean
hourbias,11-15,wmape,40,-0.3,215,6.01568289028217,10.363744205663183,6.07882243554024,2,median
