Hour,Actual_Price,Predicted_Price,Price_Cap,Abs_Error,APE_pct
1,5600.0,7979.07,15000.0,2379.07,42.48
2,6500.0,5748.06,15000.0,751.94,11.57
3,5500.0,4896.82,15000.0,603.18,10.97
4,5400.0,5544.19,15000.0,144.19,2.67
5,5226.0,4994.36,15000.0,231.64,4.43
6,5231.0,5238.05,15000.0,7.05,0.13
7,6363.0,5286.33,15000.0,1076.67,16.92
8,6810.0,6003.82,15000.0,806.18,11.84
9,6190.45,6202.16,15000.0,11.71,0.19
10,4800.0,3562.87,15000.0,1237.13,25.77
11,3899.0,1130.86,15000.0,2768.14,71.0
12,500.0,403.05,15000.0,96.95,19.39
13,300.0,604.59,15000.0,304.59,101.53
14,489.0,572.13,15000.0,83.13,17.0
15,602.0,527.55,15000.0,74.45,12.37
16,712.0,112.45,15000.0,599.55,84.21
17,841.0,1350.24,15000.0,509.24,60.55
18,5600.0,5672.98,15000.0,72.98,1.3
19,10000.0,7231.71,15000.0,2768.29,27.68
20,10267.0,9637.13,15000.0,629.87,6.13
21,14970.8,12219.93,15000.0,2750.87,18.37
22,14975.17,15000.0,15000.0,24.83,0.17
23,14977.36,14557.14,15000.0,420.22,2.81
24,8369.0,8320.54,15000.0,48.46,0.58
