Hour,Predicted_Price,Price_Cap,Actual_Price,Abs_Error,APE_pct
1,14975.6,15000.0,14976.51,0.91,0.0061
2,7167.0,15000.0,8305.0,1138.0,13.7026
3,6599.0,15000.0,7000.0,401.0,5.7286
4,6499.0,15000.0,6900.0,401.0,5.8116
5,6133.0,15000.0,6800.0,667.0,9.8088
6,6530.0,15000.0,6850.0,320.0,4.6715
7,6999.0,15000.0,10500.0,3501.0,33.3429
8,7316.0,15000.0,9285.0,1969.0,21.2062
9,6670.0,15000.0,5440.0,1230.0,22.6103
10,3950.0,15000.0,4599.0,649.0,14.1118
11,2932.0,15000.0,2867.0,65.0,2.2672
12,711.0,15000.0,500.0,211.0,42.2
13,711.0,15000.0,999.0,288.0,28.8288
14,1200.0,15000.0,999.0,201.0,20.1201
15,711.0,15000.0,999.0,288.0,28.8288
16,711.0,15000.0,999.0,288.0,28.8288
17,3588.0,15000.0,2870.0,718.0,25.0174
18,4731.0,15000.0,8000.0,3269.0,40.8625
19,10000.0,15000.0,14977.67,4977.67,33.2339
20,14972.56,15000.0,14978.63,6.07,0.0405
21,14976.76,15000.0,14974.85,1.91,0.0128
22,15000.0,15000.0,14999.0,1.0,0.0067
23,14976.22,15000.0,15000.0,23.78,0.1585
24,14999.0,15000.0,14967.5,31.5,0.2105
