Hour,Actual_17,Predicted_17,Abs_Error_17,APE_pct_17,Signed_Error,Actual_15,Predicted_15,Abs_Error_15,APE_pct_15,Predicted_17_minus_15,Actual_17_minus_15,APE_17_minus_15_pp
1,14976.51,14930.88,45.63000000000102,0.3046771243767808,-45.63000000000102,5600.0,7979.07,2379.07,42.48,6951.8099999999995,9376.51,-42.175322875623216
2,8305.0,7200.05,1104.9499999999998,13.3046357615894,-1104.9499999999998,6500.0,5748.06,751.94,11.57,1451.9899999999998,1805.0,1.7346357615894004
3,7000.0,6178.92,821.0799999999999,11.729714285714286,-821.0799999999999,5500.0,4896.82,603.18,10.97,1282.1000000000004,1500.0,0.7597142857142849
4,6900.0,6481.82,418.1800000000003,6.060579710144932,-418.1800000000003,5400.0,5544.19,144.19,2.67,937.6300000000001,1500.0,3.390579710144932
5,6800.0,5760.94,1039.0600000000004,15.280294117647063,-1039.0600000000004,5226.0,4994.36,231.64,4.43,766.5799999999999,1574.0,10.850294117647064
6,6850.0,5700.02,1149.9799999999996,16.788029197080288,-1149.9799999999996,5231.0,5238.05,7.05,0.13,461.97000000000025,1619.0,16.65802919708029
7,10500.0,6559.76,3940.24,37.52609523809524,-3940.24,6363.0,5286.33,1076.67,16.92,1273.4300000000003,4137.0,20.606095238095236
8,9285.0,6361.13,2923.87,31.490253096392028,-2923.87,6810.0,6003.82,806.18,11.84,357.3100000000004,2475.0,19.650253096392028
9,5440.0,6279.75,839.75,15.43658088235294,839.75,6190.45,6202.16,11.71,0.19,77.59000000000015,-750.4499999999998,15.24658088235294
10,4599.0,2410.63,2188.37,47.583605131550335,-2188.37,4800.0,3562.87,1237.13,25.77,-1152.2399999999998,-201.0,21.813605131550336
11,2867.0,891.87,1975.13,68.89187303801883,-1975.13,3899.0,1130.86,2768.14,71.0,-238.9899999999999,-1032.0,-2.1081269619811707
12,500.0,45.05,454.95,90.99,-454.95,500.0,403.05,96.95,19.39,-358.0,0.0,71.6
13,999.0,10.0,989.0,98.998998998999,-989.0,300.0,604.59,304.59,101.53,-594.59,699.0,-2.531001001001002
14,999.0,10.0,989.0,98.998998998999,-989.0,489.0,572.13,83.13,17.0,-562.13,510.0,81.998998998999
15,999.0,45.05,953.95,95.4904904904905,-953.95,602.0,527.55,74.45,12.37,-482.49999999999994,397.0,83.1204904904905
16,999.0,10.0,989.0,98.998998998999,-989.0,712.0,112.45,599.55,84.21,-102.45,287.0,14.788998998999006
17,2870.0,2260.87,609.1300000000001,21.224041811846696,-609.1300000000001,841.0,1350.24,509.24,60.55,910.6299999999999,2029.0,-39.3259581881533
18,8000.0,5537.42,2462.58,30.78225,-2462.58,5600.0,5672.98,72.98,1.3,-135.5599999999995,2400.0,29.48225
19,14977.67,10686.5,4291.17,28.650450971346007,-4291.17,10000.0,7231.71,2768.29,27.68,3454.79,4977.67,0.9704509713460077
20,14978.63,14149.88,828.75,5.532882513287263,-828.75,10267.0,9637.13,629.87,6.13,4512.75,4711.629999999999,-0.5971174867127367
21,14974.85,14085.59,889.2600000000002,5.938356644640849,-889.2600000000002,14970.8,12219.93,2750.87,18.37,1865.6599999999999,4.050000000001091,-12.431643355359153
22,14999.0,14054.84,944.16,6.294819654643642,-944.1599999999999,14975.17,15000.0,24.83,0.17,-945.1599999999999,23.829999999999927,6.124819654643642
23,15000.0,14856.86,143.13999999999942,0.9542666666666628,-143.13999999999942,14977.36,14557.14,420.22,2.81,299.72000000000116,22.639999999999418,-1.8557333333333372
24,14967.5,13816.46,1151.0400000000009,7.690262234842164,-1151.0400000000009,8369.0,8320.54,48.46,0.58,5495.919999999998,6598.5,7.110262234842164
