rolling,beta,hours,gate,thr,applied,wmape_3m,wmape_14d,wmape_all,bias_3m,delta_3m,delta_14d,delta_all
1,0.2,midday,absbias,500,36,6.0980283498709715,10.664674485369655,6.160636040978363,-37.675059192531535,-0.006694713877314129,0.020362631745260984,-0.006610728861537574
1,0.1,midday,absbias,500,36,6.098776270709649,10.642610048695438,6.161374579169091,-38.319886855719574,-0.005946793038636322,-0.0017018049289561077,-0.005872190670809907
1,0.2,coremid,absbias,500,30,6.09897834140768,10.658114064738763,6.16157411489534,-37.88548818528643,-0.005744722340605968,0.013802211114368745,-0.005672654944560485
1,0.1,midday,absbias,100,294,6.099131750715229,10.657004961064269,6.161725599687017,-38.235051699715385,-0.005591313033056267,0.012693107439874396,-0.00552117015288367
1,0.05,midday,absbias,100,294,6.099290945005595,10.644697347980237,6.161882796889049,-38.65796326301899,-0.005432118742690228,0.00038549435584300795,-0.005363972950851448
1,0.05,midday,none,0,552,6.09941686799255,10.644133861992751,6.1620071401753265,-38.66796627532542,-0.005306195755736098,-0.0001779916316433372,-0.005239629664574252
1,0.1,midday,absbias,250,102,6.099479197449659,10.650997134559407,6.162068687710977,-38.460397923955625,-0.00524386629862672,0.006685280935013083,-0.005178082128924011
1,0.1,coremid,absbias,500,30,6.09951212395594,10.639329838379991,6.162101201155072,-38.449281634090504,-0.005210939792346103,-0.004982015244403115,-0.0051455686848287385
1,0.1,midday,none,0,552,6.099517675129285,10.655942301937275,6.162106682689088,-38.254608291004,-0.005205388619000217,0.011630448312880404,-0.005140087150812711
1,0.1,midday,wmape,8,132,6.099659302232942,10.656806129302435,6.162246533084321,-38.63564300441515,-0.005063761515343934,0.012494275678040623,-0.005000236755579479
1,0.05,day,absbias,100,343,6.100026636351365,10.64871050234362,6.1626092590055475,-38.61531282567917,-0.004696427396920555,0.004398648719226017,-0.0046375108343532645
1,0.05,day,none,0,644,6.100122487307395,10.647996845667294,6.162703907513765,-38.62814232651297,-0.004600576440890514,0.0036849920428991823,-0.004542862326135655
1,0.3,midday,absbias,500,36,6.100162811085629,10.695156175904039,6.162743725431223,-37.12005564990291,-0.004560252662656694,0.050844322279644416,-0.004503044408677326
1,0.1,coremid,wmape,8,110,6.100412945052879,10.655692017792733,6.1629907214742,-38.704982961532494,-0.004310118695406651,0.011380164168338425,-0.004256048365700593
1,0.05,midday,absbias,250,102,6.100453288423458,10.641785215705106,6.163030558738219,-38.76187046141899,-0.004269775324827307,-0.0025266379192885324,-0.004216211101681466
1,0.05,midday,absbias,500,36,6.100539015911082,10.638547440331738,6.163115210776684,-38.69161492730096,-0.004184047837203941,-0.005764413292656201,-0.004131559063217161
1,0.1,day,wmape,8,154,6.100540298886987,10.665661571189954,6.16311647765769,-38.60891519806702,-0.004182764861298871,0.0213497175655597,-0.004130292182210837
1,0.1,day,absbias,250,119,6.100672430824561,10.658923341985304,6.163246952003458,-38.40278222094433,-0.004050632923724429,0.01461148836090942,-0.003999817836442432
1,0.05,midday,wmape,8,132,6.100678348444726,10.644597932099323,6.163252795387228,-38.852696179311906,-0.004044715303559876,0.0002860784749287859,-0.003993974452672688
34,0.1,peakerr,none,0,1196,6.100686082046805,10.645309631971008,6.163260431971466,-38.561057579977174,-0.004036981701480258,0.0009977783466137424,-0.0039863378684348305
1,0.1,coremid,absbias,250,85,6.100729534070534,10.649755270817089,6.163303338890659,-38.56637419095387,-0.003993529677751795,0.005443417192694255,-0.003943430949242099
1,0.1,day,absbias,500,42,6.100734369464143,10.652324913665973,6.163308113624376,-38.23885264133562,-0.003988694284142724,0.008013060041578868,-0.003938656215524361
1,0.05,day,absbias,250,119,6.100759287960786,10.645748319418052,6.163332719519111,-38.73306260991334,-0.003963775787499735,0.0014364657936578595,-0.003914050320789286
1,-0.5,midday,wmape,20,6,6.10080418572983,10.615110437688994,6.163377054046782,-37.956366297758265,-0.003918878018455807,-0.029201415935400377,-0.0038697157931188997
1,-0.3,midday,wmape,20,6,6.10080418572983,10.615110437688994,6.163377054046782,-38.401216716464454,-0.003918878018455807,-0.029201415935400377,-0.0038697157931188997
1,0.05,coremid,none,0,460,6.1009055883085725,10.643776684867197,6.163477184532747,-38.73734537219109,-0.003817475439713114,-0.0005351687571977237,-0.0037695853071539887
1,0.05,coremid,absbias,100,245,6.100922320131941,10.64409058428493,6.1634937064558155,-38.72865250491311,-0.0038007436163445263,-0.00022126933946431393,-0.003753063384085209
8,-0.3,all,wmape,10,288,6.100940495727236,10.602028120871926,6.163511654038728,-38.08509813620197,-0.0037825680210499257,-0.042283732752467884,-0.003735115801172917
1,0.05,day,wmape,8,154,6.100997948311545,10.648660794403163,6.163568385881827,-38.83933227613784,-0.003725115436740367,0.004348940778768906,-0.003678383958074072
1,-0.8,midday,wmape,20,6,6.101063280124061,10.617041072716882,6.16363289810841,-37.289090669698986,-0.0036597836242249215,-0.02727078090751256,-0.0036138717314910807
34,0.2,peakerr,none,0,1196,6.101088699063621,10.64618526517492,6.163657998168017,-38.058945852148966,-0.003634364684664604,0.001873411550525006,-0.0035887716718834284
21,0.1,peakerr,none,0,1196,6.101102214483229,10.645223596119841,6.163671344037031,-38.742016624005245,-0.0036208492650562363,0.0009117424954467879,-0.003575425802869958
1,0.05,coremid,absbias,500,30,6.1011236282089705,10.636907335174014,6.163692489128126,-38.75888698930712,-0.0035994355393151878,-0.007404518450380593,-0.003554280711774993
14,0.1,peakerr,none,0,1196,6.101276417432743,10.645637850660925,6.163843361614959,-38.77780516071334,-0.0034466463155427007,0.0013259970365311347,-0.003403408224941451
14,0.1,peakerr,absbias,100,208,6.101278370298271,10.644311853624394,6.163845289981839,-39.19798616986786,-0.0034446934500147464,0.0,-0.00340147985806194
1,0.1,day,absbias,100,343,6.101282296965448,10.665760987070868,6.163849167389078,-38.149750825035746,-0.0034407667828375565,0.021449133446473923,-0.0033976024508231006
1,0.3,coremid,absbias,500,30,6.101326940912752,10.6853155449577,6.163893251279195,-37.411518857041756,-0.003396122835533255,0.04100369133330517,-0.0033535185607060924
1,0.05,coremid,wmape,8,110,6.101352655775724,10.644040876344473,6.163918643549863,-38.88994083069126,-0.0033704079725618286,-0.00027097727992142495,-0.0033281262900377584
1,0.05,coremid,absbias,250,85,6.101410939895026,10.641164283833946,6.163976196496367,-38.81743326773881,-0.0033121238532594077,-0.003147569790447946,-0.003270573343534089
8,-0.2,all,wmape,10,288,6.101415403473109,10.608565982552115,6.163980604078977,-38.41237774487015,-0.0033076602751762607,-0.035745871072279556,-0.003266165760924089
1,0.2,midday,wmape,8,132,6.101435552080726,10.695907370766541,6.16400049992282,-38.290394434490636,-0.003287511667559251,0.05159551714214672,-0.0032462699170805465
1,0.1,coremid,absbias,100,245,6.101449675203591,10.65579143367365,6.1640144458714685,-38.37128083786224,-0.003273388544694278,0.0114795800492562,-0.0032323239684322047
1,0.05,day,absbias,500,42,6.101518065288328,10.643404872817003,6.164081978004328,-38.65109782010899,-0.0032049984599575865,-0.0009069808073913777,-0.0031647918355730553
1,0.1,coremid,none,0,460,6.101551043163817,10.655227947686164,6.164114542173205,-38.38866657241821,-0.0031720205844685267,0.010916094061769854,-0.0031322276666960747
1,0.1,day,none,0,644,6.101608077317655,10.664397986566199,6.164170860835029,-38.17496039337911,-0.003114986430630573,0.02008613294180428,-0.0030759090048713134
3,0.1,midday,none,0,552,6.101641308425701,10.650425732013641,6.164203675059668,-38.383394984339034,-0.0030817553225848116,0.0061138783892467075,-0.003043094780232458
3,0.2,midday,wmape,10,78,6.1016453436809375,10.654581470937885,6.16420765969273,-39.051080271200206,-0.0030777200673481886,0.010269617313490187,-0.0030391101471707316
34,0.1,midday,none,0,552,6.101703586569783,10.64472089028536,6.164265171926011,-38.75894051211153,-0.0030194771785030383,0.00040903666096525626,-0.0029815979138900772
1,0.1,midday,wmape,10,54,6.101767021140672,10.651390320293611,6.164327810711819,-38.66662972898829,-0.002956042607613618,0.007078466669216965,-0.0029189591280820437
3,0.2,coremid,wmape,10,65,6.101799342490312,10.6453125966854,6.164359726590947,-39.023702204976,-0.002923721257973355,0.0010007430610059487,-0.0028870432489540576
14,0.05,peakerr,none,0,1196,6.101808876432617,10.644978617002252,6.164369140930188,-38.922606013948915,-0.002914187315668393,0.0006667633778576487,-0.0028776289097125485
3,1.2,peakerr,wmape,15,13,6.101812645913076,10.622624952079738,6.164372863122608,-40.36828141649199,-0.0029104178352099552,-0.02168690154465658,-0.002873906717292485
8,0.05,peakerr,none,0,1196,6.101846988335772,10.648506416215428,6.164406774720485,-38.74287190618465,-0.0028760754125132237,0.004194562591033346,-0.0028399951194160167
8,0.1,peakerr,none,0,1196,6.101870678304938,10.654421098702457,6.164430167499587,-38.419830560751755,-0.002852385443347316,0.010109245078062656,-0.0028166023403137785
3,0.2,day,wmape,10,91,6.101888833628655,10.655453561238604,6.164448095065229,-39.09478118996057,-0.0028342301196309094,0.011141707614209295,-0.002798674774671994
1,0.2,day,absbias,500,42,6.101944547379959,10.68410421531072,6.164503109888935,-37.51299076376361,-0.002778516368326933,0.039792361686325606,-0.0027436599509655935
3,0.1,day,wmape,10,91,6.101973964180544,10.64571997100265,6.164532157656505,-39.088639904223,-0.0027490995677412755,0.0014081173782560796,-0.002714612183395637
14,0.05,peakerr,absbias,100,208,6.101989892129388,10.644311853624394,6.164547885789634,-39.13173407261108,-0.002733171618897856,0.0,-0.0026988840502664146
1,0.1,coremid,wmape,10,45,6.101999720928465,10.646237632241649,6.164557591286674,-38.735567976197494,-0.0027233428198210063,0.0019257786172541813,-0.00268917855322659
8,-0.5,evening,wmape,10,60,6.102004903281279,10.616847724224,6.164562708627005,-38.7981877845065,-0.0027181604670065695,-0.027464129400394555,-0.00268406121289555
