3m,14d,all,bias3,low,summer,cap,eve,applied,group_by,sb_name,rb_name,rolling,stat,beta,hours_name,hours,gate,th,source_bins,ratio_bins
6.3284122430812495,11.074615881024835,6.388129774092118,-49.75780004341001,48.825952292366296,34.41306958888496,1.5505500562664434,2.9446944417686596,62,"hour,source_ratio_bin,weekend",wide,coarse,5,median,-0.3,h789111718,"7-9,11,17,18",wmape,25,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.328470678438664,11.07864310993946,6.388187476379454,-49.23039076790515,48.82533805489467,34.345659578344566,1.5505500562664434,2.9446944417686596,62,"hour,source_ratio_bin,weekend",wide,coarse,5,median,-0.2,h789111718,"7-9,11,17,18",wmape,25,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.329647154065557,11.084669421137129,6.389349193149451,-49.35360581967264,48.66880876590724,34.1415582900933,1.5505500562664434,2.9446944417686596,63,"hour,source_ratio_bin,weekend",wide,coarse,8,median,-0.2,h789111718,"7-9,11,17,18",wmape,25,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.329705249031134,11.085153308625895,6.38940655931516,-49.352308242346716,48.678062164588404,34.15688217539563,1.5505500562664434,2.9446944417686596,63,"hour,source_ratio_bin,weekend",wide,coarse,13,median,-0.2,h789111718,"7-9,11,17,18",wmape,25,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.329705249031134,11.085153308625895,6.38940655931516,-49.352308242346716,48.678062164588404,34.15688217539563,1.5505500562664434,2.9446944417686596,63,"hour,source_ratio_bin,weekend",wide,coarse,21,median,-0.2,h789111718,"7-9,11,17,18",wmape,25,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.329705249031134,11.085153308625895,6.38940655931516,-49.352308242346716,48.678062164588404,34.15688217539563,1.5505500562664434,2.9446944417686596,63,"hour,source_ratio_bin,weekend",wide,coarse,34,median,-0.2,h789111718,"7-9,11,17,18",wmape,25,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.3297603220087275,11.083053266922581,6.389460941403646,-49.94253288490552,48.57803333381403,34.087850789003724,1.5505500562664434,2.9446944417686596,63,"hour,source_ratio_bin,weekend",wide,coarse,8,median,-0.3,h789111718,"7-9,11,17,18",wmape,25,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.329847464457093,11.083779098155729,6.3895469906522075,-49.94058651891664,48.59191343183577,34.110836616957215,1.5505500562664434,2.9446944417686596,63,"hour,source_ratio_bin,weekend",wide,coarse,13,median,-0.3,h789111718,"7-9,11,17,18",wmape,25,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.329847464457093,11.083779098155729,6.3895469906522075,-49.94058651891664,48.59191343183577,34.110836616957215,1.5505500562664434,2.9446944417686596,63,"hour,source_ratio_bin,weekend",wide,coarse,21,median,-0.3,h789111718,"7-9,11,17,18",wmape,25,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.329847464457093,11.083779098155729,6.3895469906522075,-49.94058651891664,48.59191343183577,34.110836616957215,1.5505500562664434,2.9446944417686596,63,"hour,source_ratio_bin,weekend",wide,coarse,34,median,-0.3,h789111718,"7-9,11,17,18",wmape,25,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.330413451284674,11.075794714667078,6.390105877189391,-48.89111631558516,48.85662364643063,34.34662188394294,1.5505500562664434,2.9446944417686596,17,"hour,source_ratio_bin,weekend",wide,coarse,5,median,-0.2,h78917,"7-9,17",wmape,25,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.330540323381885,11.06819946597915,6.390231157679362,-49.26073596669374,48.85662364643063,34.34662188394294,1.5505500562664434,2.9446944417686596,17,"hour,source_ratio_bin,weekend",wide,coarse,5,median,-0.3,h78917,"7-9,17",wmape,25,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.331961918897941,11.087333080144276,6.391634919315728,-48.97787115814047,48.85662364643063,34.34662188394294,1.5505500562664434,2.9446944417686596,16,"hour,source_ratio_bin,weekend",wide,coarse,8,median,-0.2,h78917,"7-9,17",wmape,25,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.331961918897941,11.087333080144276,6.391634919315728,-48.97787115814047,48.85662364643063,34.34662188394294,1.5505500562664434,2.9446944417686596,16,"hour,source_ratio_bin,weekend",wide,coarse,13,median,-0.2,h78917,"7-9,17",wmape,25,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
