3m,14d,all,bias3,low,summer,cap,eve,applied,group_by,sb_name,rb_name,rolling,stat,beta,hours,gate,th,source_bins,ratio_bins
6.46798055994622,11.460816397411099,6.525947209962235,-47.01757153537069,52.31184252192224,38.23362113503623,1.56937174370361,3.0109617883873554,1040,"hour,source_ratio_bin",wide,fine,21,median,0.2,all,absbias,100,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.468737834319477,11.453848428615613,6.526694984347689,-47.090160352215236,52.141611379927,38.093047609972736,1.5664362470481652,3.011679110102302,1040,"hour,source_ratio_bin",wide,fine,21,median,0.18,all,absbias,100,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.469031316362835,11.468378998853664,6.526984784666256,-46.85650109998492,52.31184252192224,38.23362113503623,1.56937174370361,3.0102826390272455,1053,"hour,source_ratio_bin",wide,fine,34,median,0.2,all,absbias,100,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.469577910154564,11.460394785484397,6.527524521452735,-46.94519696036803,52.141611379927,38.093047609972736,1.5664362470481652,3.0110678756782026,1053,"hour,source_ratio_bin",wide,fine,34,median,0.18,all,absbias,100,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.471574289977,11.44380461612376,6.529495856740937,-47.19904357748205,51.90979966233419,37.8821873223775,1.5620330020649977,3.012805247920473,1040,"hour,source_ratio_bin",wide,fine,21,median,0.15,all,absbias,100,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.472200527634299,11.44915312055156,6.530114238262709,-47.07824075094271,51.90979966233419,37.8821873223775,1.5620330020649977,3.0122958859003903,1053,"hour,source_ratio_bin",wide,fine,34,median,0.15,all,absbias,100,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.4724025961698555,11.47852288356129,6.530313771853614,-46.83609949325935,52.765599014128604,38.585054947694985,1.5767104853422227,3.0113037022775764,1040,"hour,source_ratio_bin",wide,fine,21,median,0.25,all,absbias,100,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.4737518920087815,11.488626096438313,6.531646140810466,-46.63476144902711,52.765599014128604,38.585054947694985,1.5767104853422227,3.0104547655774385,1053,"hour,source_ratio_bin",wide,fine,34,median,0.25,all,absbias,100,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.4742432176282465,11.472162038197448,6.5321313027624965,-47.47057701092573,52.31184252192224,38.23362113503623,1.5709488466198764,3.008017838618234,1034,"hour,source_ratio_bin",wide,fine,13,median,0.2,all,absbias,100,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.474281794527287,11.463944879658735,6.532169395715316,-47.497865280214775,52.141611379927,38.093047609972736,1.5678556396728045,3.0089778167417807,1034,"hour,source_ratio_bin",wide,fine,13,median,0.18,all,absbias,100,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
