candidate,group_by,rolling,stat,thr,hours,distop,distthr,alpha,applied,wmape_3m,wmape_14d,wmape_all,bias_3m,delta_3m,delta_14d,delta_all
f_price_lag_24,hour_sr,5,median,-100,19-23,ge_abs,1000.0,-0.3,21,6.288736878944906,10.879330353084708,6.34895213639248,-47.861302035852965,-0.02697216082485987,-0.15655632404814135,-0.026633795751473954
f_price_lag_24,hour_cr,21,median,-500,night,ge_rel,0.1,0.1,58,6.291646479050969,10.949975503901467,6.351825235639017,-49.04745492939438,-0.02406256071879742,-0.08591117323138242,-0.023760696504937506
f_price_lag_24,hour_cr,34,median,-500,night,ge_rel,0.1,0.1,56,6.294096670410712,10.955441161504087,6.354244689410302,-48.91255301529047,-0.02161236935905375,-0.08044551562876201,-0.021341242733652344
f_price_lag_24,hour_cr,8,median,-250,peakerr,ge_rel,0.1,0.05,82,6.2944493931565235,10.978464943665085,6.354592987258211,-48.91606914915252,-0.021259646613242644,-0.05742173346776447,-0.02099294488574266
f_price_lag_24,hour_cr,21,median,-500,night,ge_abs,1000.0,0.1,67,6.294745718832187,10.941376109433827,6.354885595535792,-49.29732827656798,-0.0209633209375788,-0.09451056769902166,-0.020700336608162395
f_price_lag_24,hour_weekend,5,median,-250,night,ge_rel,0.1,0.05,65,6.294777415072848,11.079221122551896,6.354916894147918,-49.12631215701607,-0.020931624696918227,0.043334445419047185,-0.020669037996036366
f_price_lag_24,hour_cr,13,mean,-250,day,le_abs,2000.0,-0.3,86,6.294966506754801,11.035886677132849,6.355103613679517,-47.328783969608736,-0.02074253301496487,0.0,-0.020482318464437377
f_price_lag_24,hour_cr,21,median,-500,night,ge_rel,0.1,0.05,58,6.2950932441658125,10.988309730398448,6.355228761172922,-49.291261961910855,-0.020615795603953657,-0.047576946734400494,-0.020357170971031735
f_price_lag_24,hour_sr,5,median,-100,19-23,ge_abs,1000.0,-0.2,21,6.295403868183623,10.922649490642142,6.355535488420309,-48.23482848016949,-0.02030517158614309,-0.11323718649070713,-0.02005044372364484
f_price_lag_24,hour_cr,8,median,-250,peakerr,ge_abs,1000.0,0.05,97,6.29543296555891,10.978683806884405,6.355564220769761,-49.15359652199852,-0.020276074210856088,-0.05720287024844417,-0.020021711374193174
