wmape_3m,wmape_14d,wmape_all,hours,metric,threshold,alpha,applied,delta_3m,delta_14d
6.989352440532858,12.967842617555197,7.032386415123784,night,absdiff_ge,500.0,-0.1,460,-0.04956102356743486,0.11552853355031267
6.9990317583808626,12.9992094374753,7.042535036684974,night,absdiff_ge,750.0,-0.1,378,-0.03988170571943073,0.14689535347041627
7.000240605881744,12.942301343530882,7.049884398060809,night,ratio_le,0.5,-0.1,622,-0.0386728582185496,0.08998725952599784
7.000342613071202,13.007351411540178,7.044431340476216,night,absdiff_ge,1000.0,-0.1,319,-0.038570851029091635,0.1550373275352932
7.004982015535265,12.911287138732872,7.049881799427937,night,absdiff_ge,2000.0,-0.1,135,-0.03393144856502861,0.05897305472798742
7.009052471731997,12.950973805970566,7.062257283322827,night,profile_abs_le,3000.0,-0.1,704,-0.029860992368296202,0.09865972196568151
7.00974348187062,12.903824342260068,7.05926806071145,night,ratio_le,0.35,-0.1,561,-0.029169982229673153,0.05151025825518296
7.0129144512247805,12.859861034900694,7.0660708143808355,all,absdiff_le,100.0,1.0,371,-0.02599901287551276,0.007546950895809701
7.0137474713942956,12.879733783529804,7.066893384333454,midday,profile_abs_le,2000.0,0.05,432,-0.02516599270599773,0.02741969952491985
7.016261256063008,12.899611965354321,7.0693756336372635,all,absdiff_le,150.0,1.0,439,-0.02265220803728507,0.047297881349436466
7.016463354694019,12.80192167801109,7.067483900527917,night,absdiff_le,1500.0,-0.1,534,-0.022450109406274343,-0.050392405993795464
7.0170617830118145,12.906954400854707,7.06649455395046,night,absdiff_le,3000.0,-0.1,660,-0.02185168108847879,0.05464031684982196
7.017139121422295,12.89633348912074,7.063496076851626,night,absdiff_ge,3000.0,-0.1,84,-0.021774342677998604,0.044019405115856
7.01773754974009,13.00136621196436,7.062506730274169,night,absdiff_ge,1500.0,-0.1,210,-0.021175914360203052,0.1490521279594752
7.0179533461465535,12.881829909157794,7.07104649649363,all,absdiff_le,150.0,0.7,439,-0.020960117953739754,0.029515825152909514
7.018289169288451,12.855911465302336,7.07137810674273,all,absdiff_le,100.0,0.7,371,-0.020624294811842248,0.003597381297451463
7.018846634402504,12.897748679873594,7.071928578471066,midday,profile_abs_le,2500.0,0.05,486,-0.0200668296977895,0.04543459586870924
7.019242799776444,12.846528621733762,7.072319773960442,night,ratio_le,0.05,1.0,198,-0.019670664323848897,-0.005785462271122199
7.01946939522935,12.903646580999101,7.072543526779139,night,profile_abs_le,2500.0,-0.1,648,-0.01944406887094363,0.051332496994216825
7.019738330565735,12.841689537000677,7.072809088328551,night,ratio_le,0.05,0.7,198,-0.019175133534558242,-0.01062454700420723
7.02018542017586,12.906954400854707,7.069579005165516,night,reldiff_le,0.2,-0.1,608,-0.01872804392443328,0.05464031684982196
7.020803293886624,12.874564499486175,7.073860691711591,all,absdiff_le,150.0,0.55,439,-0.018110170213669008,0.02225041548128992
7.021263644426251,12.83460152090276,7.074315267165376,night,absdiff_le,150.0,1.0,141,-0.017649819674042,-0.017712563102124435
7.021713880951487,12.85228712558228,7.074759855484822,night,profile_abs_le,2000.0,-0.1,576,-0.01719958314880632,-2.6958422605360965e-05
7.021807938644735,12.854719385671542,7.074852733226694,all,absdiff_le,100.0,0.55,371,-0.0171055254555581,0.0024053016666574223
7.0221854327469035,12.843966225644438,7.075225491674927,night,ratio_le,0.05,0.55,198,-0.01672803135338974,-0.00834785836044638
7.023978030422033,12.854985778265243,7.076995601257692,peakerr,absdiff_le,100.0,1.0,221,-0.01493543367825989,0.002671694260358848
7.024256994093046,12.86746891475127,7.07727106533653,all,absdiff_le,150.0,0.4,439,-0.014656470007246902,0.015154830746386239
7.024543443314893,12.838735211271835,7.0775539210601535,night,absdiff_le,150.0,0.7,141,-0.014370020785400506,-0.013578872733049252
7.024614744249978,12.768662496913885,7.077624327526816,peakerr,profile_abs_le,500.0,-0.25,78,-0.0142987198503155,-0.08365158709099951
7.024649513911574,12.761468407391458,7.077730166845771,peakerr,reldiff_le,0.03,-0.25,409,-0.014263950188719399,-0.09084567661342646
7.0249742357146,12.84403414862525,7.077979309180132,night,absdiff_le,200.0,1.0,168,-0.01393922838569317,-0.008279935379635006
7.0255190602694455,12.755973145093211,7.077575589464204,all,reldiff_le,0.05,-0.1,938,-0.013394403830847779,-0.09634093891167339
7.025540855944139,12.846242914288194,7.078538821173266,night,ratio_le,0.05,0.4,198,-0.013372608156154264,-0.006071169716690861
7.025681062249506,12.845338050677576,7.07867726859409,night,absdiff_le,200.0,0.7,168,-0.013232401850787667,-0.006976033327308784
7.0256905996995505,12.853697130977462,7.078686686397064,all,absdiff_le,100.0,0.4,371,-0.013222864400742829,0.0013830469725775174
7.025707488204186,12.842504397101607,7.078703363035838,all,absdiff_le,50.0,1.0,277,-0.01320597589610717,-0.009809686903277992
7.025837192706382,12.85228712558228,7.078831440398342,night,profile_abs_le,1500.0,-0.1,432,-0.013076271393911654,-2.6958422605360965e-05
7.026613222734103,12.835927152303448,7.07959773514905,night,ratio_le,0.02,1.0,126,-0.012300241366189901,-0.01638693170143668
7.026769117952942,12.848629451613256,7.079751674666325,night,absdiff_le,100.0,1.0,118,-0.012144346147350937,-0.0036846323916286394
7.026991410281615,12.814863175973215,7.079971178343371,midday,profile_abs_le,1000.0,0.1,204,-0.011922053818678613,-0.03745090803166917
7.027027662591458,12.833741524382084,7.0800069758689075,all,ratio_le,0.02,1.0,283,-0.01188580150883567,-0.018572559622800355
7.027123581276793,12.830549691685153,7.080101691256768,peakerr,profile_abs_le,750.0,0.1,234,-0.011789882823499909,-0.021764392319731485
7.027126882117966,12.84164496971463,7.080104950688973,night,absdiff_le,150.0,0.55,141,-0.011786581982327071,-0.010669114290253745
7.027156634744738,12.86277322586486,7.0801343300697965,all,absdiff_le,150.0,0.3,439,-0.011756829355554999,0.010459141859975318
7.027164759794949,12.846832914962,7.080142353191459,night,absdiff_le,200.0,0.55,168,-0.011748704305344582,-0.005481169042884204
7.027175421115123,12.878831782833808,7.08015288076564,midday,profile_abs_le,1250.0,0.05,288,-0.011738042985170338,0.02651769882892374
7.027204680750393,12.852727234212145,7.080181773339528,peakerr,absdiff_le,100.0,0.7,221,-0.01170878334990011,0.0004131502072599602
7.027398211975829,12.881829909157794,7.080372876720649,all,reldiff_le,0.01,0.7,399,-0.011515252124464581,0.029515825152909514
7.027412201435884,12.899611965354321,7.0803866906832855,all,reldiff_le,0.01,1.0,399,-0.011501262664409317,0.047297881349436466
7.027539094339928,12.83734621890387,7.0805119917190655,all,ratio_le,0.02,0.7,283,-0.011374369760365433,-0.01496786510101522
7.028276240687413,12.823906566843558,7.08123989058432,peakerr,profile_abs_le,750.0,0.15,234,-0.010637223412880203,-0.028407517161326723
7.028343093056984,12.847760706717365,7.081305904292609,night,ratio_le,0.05,0.3,198,-0.010570371043309379,-0.004553377287519922
7.028385453488463,12.873076170663253,7.08134773331355,night,profile_abs_le,1250.0,-0.1,384,-0.010528010611830396,0.020762086658368872
7.0284634936935975,12.808882584157136,7.08023217025648,night,ratio_le,0.2,-0.1,434,-0.010449970406695819,-0.04343149984774897
7.028532067260346,12.85305032878494,7.081492507819384,all,absdiff_le,100.0,0.3,371,-0.010381396839947321,0.0007362447800556282
7.028589151352045,12.84513456329214,7.081548875792601,all,absdiff_le,50.0,0.7,277,-0.01032431274824841,-0.007179520712744747
7.028637759586358,12.874564499486175,7.081596874237847,all,reldiff_le,0.01,0.55,399,-0.010275704513935224,0.02225041548128992
7.0288592953460824,12.839871063243272,7.0818156308370845,all,ratio_le,0.02,0.55,283,-0.010054168754210835,-0.012443020761612189
7.029085205410805,12.845015225785477,7.082214196341019,midday,ratio_le,0.5,0.05,182,-0.009828258689488223,-0.007298858219407123
7.0292188888988445,12.892000751242575,7.08010883137415,night,absdiff_le,2000.0,-0.1,609,-0.009694575201448785,0.03968666723769054
7.029228008071765,12.85238066735398,7.082179718070976,peakerr,absdiff_le,100.0,0.55,221,-0.009685456028527994,6.658334909559471e-05
7.029459100184641,12.848327779246423,7.082407911139159,night,absdiff_le,200.0,0.4,168,-0.00945436391565213,-0.003986304758461401
7.029505934563088,12.840843231813878,7.082454157981516,night,ratio_le,0.02,0.7,126,-0.009407529537205583,-0.011470852191006742
7.02954193311172,12.86886934498836,7.082489704929269,day,absdiff_le,100.0,1.0,150,-0.009371530988572907,0.01655526098347515
7.0295653539940774,12.872787329069618,7.082512831997251,all,absdiff_le,200.0,0.4,496,-0.009348110106215834,0.020473245064733803
