candidate,signal,op,threshold,hours,alpha,applied,wmape_3m,wmape_14d,wmape_all,rolling,stat
f_price_lag_24,profile_abs,le,2000.0,midday,0.05,426,6.065489441245325,10.624777006174464,6.128505332136061,0,none
f_price_lag_48,daily_adv_wmape,le,-50.0,evening,-0.15,40,6.06753071188155,10.324405789734895,6.130520995083931,3,mean
f_price_lag_48,daily_adv_wmape,le,-50.0,19-23,-0.15,40,6.06753071188155,10.324405789734895,6.130520995083931,3,mean
f_price_lag_48,daily_adv_wmape,le,-50.0,evening,-0.1,40,6.067932502914383,10.392681671259629,6.130917745658451,3,mean
f_price_lag_48,daily_adv_wmape,le,-50.0,19-23,-0.1,40,6.067932502914383,10.392681671259629,6.130917745658451,3,mean
f_rolling_mean_hour_3d,profile_abs,le,2000.0,midday,0.05,444,6.070298808721359,10.692532262286129,6.133254366219099,0,none
f_price_lag_48,daily_adv_wmape,le,-50.0,evening,-0.08,40,6.070561116957505,10.426065569937162,6.133513383805076,3,mean
f_price_lag_48,daily_adv_wmape,le,-50.0,19-23,-0.08,40,6.070561116957505,10.426065569937162,6.133513383805076,3,mean
f_price_lag_24,profile_abs,le,3000.0,midday,0.05,510,6.071199382080401,10.674887840429644,6.134143641908196,0,none
f_price_lag_24,profile_abs,le,2000.0,midday,0.08,426,6.07143976859187,10.652180816049013,6.134381012776975,0,none
f_rolling_mean_hour_3d,profile_abs,le,2000.0,midday,0.03,444,6.071882041034194,10.64252246273808,6.134817736922729,0,none
f_price_lag_48,daily_adv_wmape,le,-50.0,evening,-0.2,40,6.072131221952441,10.26456870462275,6.1350637918726765,3,mean
f_price_lag_48,daily_adv_wmape,le,-50.0,19-23,-0.2,40,6.072131221952441,10.26456870462275,6.1350637918726765,3,mean
f_price_lag_24,profile_abs,le,2000.0,midday,0.03,426,6.072867604198906,10.610757066381309,6.135790936222538,0,none
f_price_lag_24,profile_abs,le,3000.0,midday,0.03,510,6.073683936244269,10.63283249552129,6.1365970274030985,0,none
f_rolling_mean_hour_7d,hour_adv_abs,ge,-250.0,11-15,0.1,151,6.074992538837208,10.604024910838836,6.137889213609702,1,mean
f_rolling_mean_hour_7d,hour_adv_abs,ge,-250.0,11-15,0.1,151,6.074992538837208,10.604024910838836,6.137889213609702,1,median
f_price_lag_48,absdiff,ge,5000.0,night,-0.05,45,6.0752409166607695,10.60394308828304,6.138134475539768,0,none
f_rolling_mean_hour_3d,profile_abs,le,2000.0,midday,0.02,444,6.075564779447574,10.619801142128585,6.138454275476127,0,none
f_rolling_mean_hour_7d,hour_adv_abs,ge,-250.0,11-15,0.08,151,6.0760083635043065,10.597729954616698,6.138892294782122,1,mean
f_rolling_mean_hour_7d,hour_adv_abs,ge,-250.0,11-15,0.08,151,6.0760083635043065,10.597729954616698,6.138892294782122,1,median
f_price_lag_48,absdiff,ge,5000.0,night,-0.08,45,6.076373436370949,10.636621747773797,6.139252787818911,0,none
f_price_lag_24,profile_abs,le,2000.0,lowday,0.05,497,6.076474403160172,10.63645077351637,6.139352487982323,0,none
f_price_lag_24,profile_abs,le,2000.0,10-16,0.05,497,6.076474403160172,10.63645077351637,6.139352487982323,0,none
f_rolling_mean_hour_7d,hour_adv_abs,ge,-100.0,11-15,0.1,115,6.0764769467952995,10.5836998481191,6.139354999707613,1,mean
