kind,wmape_3m,wmape_14d,wmape_all,bias_3m,applied,rolling,stat,beta,hours,gate,thr,delta_3m,delta_14d,delta_all
hour,6.320906562593328,11.074615881024835,6.380718252175532,-50.05592867864095,21,21,median,-0.5,11-15,absbias,250,-0.007505680487921218,0.0,-0.007411521916585784
hour,6.320906562593328,11.074615881024835,6.380718252175532,-50.05592867864095,21,34,median,-0.5,11-15,absbias,250,-0.007505680487921218,0.0,-0.007411521916585784
hour,6.320906562593328,11.074615881024835,6.380718252175532,-50.05592867864095,21,55,median,-0.5,11-15,absbias,250,-0.007505680487921218,0.0,-0.007411521916585784
hour,6.321561647250282,11.074615881024835,6.381365118812081,-49.936677224548575,21,21,median,-0.3,11-15,absbias,250,-0.006850595830967698,0.0,-0.006764655280036891
hour,6.321561647250282,11.074615881024835,6.381365118812081,-49.936677224548575,21,34,median,-0.3,11-15,absbias,250,-0.006850595830967698,0.0,-0.006764655280036891
hour,6.321561647250282,11.074615881024835,6.381365118812081,-49.936677224548575,21,55,median,-0.3,11-15,absbias,250,-0.006850595830967698,0.0,-0.006764655280036891
hour,6.32262438925584,11.074553426977753,6.382414528746137,-50.790018842753376,460,5,median,-0.2,11-15,none,0,-0.00578785382540925,-6.245404708238311e-05,-0.005715245345980335
hour,6.322903194476136,11.073504347476943,6.382689836362015,-50.77012670548757,80,13,median,-0.3,11-15,absbias,100,-0.005509048605113698,-0.001111533547891952,-0.005439937730102429
hour,6.32291716123398,11.079659505875044,6.382703627907237,-50.02155951111365,26,13,median,-0.3,11-15,absbias,250,-0.005495081847269212,0.005043624850209483,-0.00542614618488102
hour,6.323050562425235,11.080779303486441,6.382835355583931,-51.230491590369034,460,5,median,-0.3,11-15,none,0,-0.005361680656014833,0.006163422461606061,-0.00529441850818646
hour,6.323053355834656,11.079661222046788,6.382838113950102,-50.75469817921831,139,5,median,-0.2,11-15,absbias,100,-0.005358887246593724,0.005045341021952865,-0.005291660142015431
hour,6.32316319483112,11.083002863546849,6.382946575019142,-50.19150654288038,26,13,median,-0.5,11-15,absbias,250,-0.0052490482501292846,0.008386982522013753,-0.005183199072975597
day,6.323214720257685,11.035886677132849,6.382997454060538,-49.23694035919637,24,14,mean,1.2,all,wmape,12,-0.005197522823564782,-0.038729203891985975,-0.005132320031579596
hour,6.323320127670992,11.067986029241494,6.383101539140518,-51.339067163802646,460,13,median,-0.3,11-15,none,0,-0.005092115410257669,-0.006629851783340968,-0.005028234951599764
hour,6.323365557692272,11.074615881024835,6.383146399243332,-49.877051497502386,21,21,median,-0.2,11-15,absbias,250,-0.005046685388977679,0.0,-0.004983374848785971
hour,6.323365557692272,11.074615881024835,6.383146399243332,-49.877051497502386,21,34,median,-0.2,11-15,absbias,250,-0.005046685388977679,0.0,-0.004983374848785971
hour,6.323365557692272,11.074615881024835,6.383146399243332,-49.877051497502386,21,55,median,-0.2,11-15,absbias,250,-0.005046685388977679,0.0,-0.004983374848785971
hour,6.323456221031595,11.067883996238427,6.3832359252133655,-51.27623050191325,460,21,median,-0.3,11-15,none,0,-0.004956022049654507,-0.00673188478640796,-0.004893848878752216
hour,6.323499769830511,11.087596693834659,6.383278927693701,-51.19496934124515,139,5,median,-0.3,11-15,absbias,100,-0.004912473250738181,0.01298081280982366,-0.004850846398416486
hour,6.323537600262827,11.068134040855062,6.383316283544205,-50.61958351981052,350,13,median,-0.3,11-15,wmape,15,-0.0048746428184225365,-0.006481840169772823,-0.004813490547912913
hour,6.323570255597261,11.073884388107073,6.383348529218296,-50.43995623549025,80,13,median,-0.2,11-15,absbias,100,-0.0048419874839886745,-0.0007314929177617557,-0.0047812448738220326
hour,6.323696939594132,11.074615881024835,6.383473623967641,-50.692401323180434,67,21,median,-0.3,11-15,absbias,100,-0.0047153034871172395,0.0,-0.004656150124477065
hour,6.323747254930945,11.069411970309616,6.3835233080998295,-50.8274216927237,460,13,median,-0.2,11-15,none,0,-0.004664988150304694,-0.00520391071521864,-0.0046064659922882
hour,6.323908863191716,11.033051254212998,6.383682888989068,-49.80379573891409,325,2,mean,-0.1,7-18,wmape,35,-0.004503379889533754,-0.04156462681183726,-0.004446885103049247
hour,6.323908863191716,11.033051254212998,6.383682888989068,-49.80379573891409,325,2,median,-0.1,7-18,wmape,35,-0.004503379889533754,-0.04156462681183726,-0.004446885103049247
day,6.323955762119998,11.04140853097597,6.383729199571484,-49.32375030656531,24,14,mean,1.0,all,wmape,12,-0.004456480961251508,-0.033207350048865436,-0.004400574520633249
hour,6.323982428714473,11.068217616605317,6.3837555316342085,-50.588837938879564,362,21,median,-0.3,11-15,wmape,15,-0.0044298143667766965,-0.006398264419518185,-0.004374242457909183
hour,6.323984086435005,11.065737914809612,6.383757168558677,-50.90186892310556,385,13,median,-0.3,10-16,wmape,15,-0.004428156646244297,-0.00887796621522341,-0.004372605533440321
hour,6.323984086435005,11.065737914809612,6.383757168558677,-50.90186892310556,385,13,median,-0.3,10-18,wmape,15,-0.004428156646244297,-0.00887796621522341,-0.004372605533440321
hour,6.324102501888588,11.074615881024835,6.3838740984934,-50.61155178133761,66,55,median,-0.3,11-15,absbias,100,-0.004309741192661143,0.0,-0.004255675598717978
hour,6.3242300406260314,11.069510644718662,6.384000037260616,-50.346959559704956,350,13,median,-0.2,11-15,wmape,15,-0.004182202455218054,-0.005105236306173211,-0.004129736831501418
day,6.324238211912261,11.043513198134761,6.384008106038269,-50.75699255601332,20,5,mean,0.8,19-23,wmape,12,-0.004174031168988179,-0.031102682890074007,-0.004121668053848282
hour,6.32425598531998,11.067491731153359,6.384025656479038,-51.183207789920154,419,13,median,-0.3,11-15,wmape,10,-0.004156257761269266,-0.0071241498714762486,-0.004104117613080049
hour,6.324270512548923,11.077987827039145,6.384040001464261,-49.93658599523028,26,13,median,-0.2,11-15,absbias,250,-0.004141730532326804,0.003371946014310012,-0.0040897726278563695
hour,6.3243550972638545,11.069149861117596,6.384123525066091,-50.77804093844535,460,21,median,-0.2,11-15,none,0,-0.004057145817395025,-0.005466019907238717,-0.004006249026026865
hour,6.32437116003027,11.06908243825086,6.384139386325509,-50.723515443468706,419,13,median,-0.2,11-15,wmape,10,-0.004041083050979388,-0.005533442773975494,-0.003990387766608983
hour,6.324406393978764,11.0809764464246,6.384174178265013,-50.45205549845657,72,5,median,-0.2,11-15,absbias,250,-0.00400584910248547,0.00636056539976515,-0.0039555958271044744
hour,6.324438668986483,11.074615881024835,6.384206048383579,-50.63038596514634,67,34,median,-0.3,11-15,absbias,100,-0.003973574094766619,0.0,-0.003923725708538939
hour,6.324445054689741,11.074168340179925,6.384212353978351,-50.30285169710018,460,5,median,-0.1,11-15,none,0,-0.003967188391508891,-0.00044754084490961077,-0.00391742011376639
hour,6.324495654692044,11.067001285479549,6.38426231920491,-51.027856143030796,487,13,median,-0.2,10-16,wmape,10,-0.003916588389205167,-0.007614595545286207,-0.003867454887207522
hour,6.3245599785665405,11.067913227355026,6.384325836138031,-50.53695838369142,385,13,median,-0.2,10-16,wmape,15,-0.0038522645147089918,-0.006702653669808711,-0.0038039379540864005
hour,6.3245599785665405,11.067913227355026,6.384325836138031,-50.53695838369142,385,13,median,-0.2,10-18,wmape,15,-0.0038522645147089918,-0.006702653669808711,-0.0038039379540864005
hour,6.324589840568115,11.065652132400878,6.384355323521554,-51.637006006578645,487,13,median,-0.3,10-16,wmape,10,-0.003822402513134371,-0.008963748623957102,-0.003774450570563914
hour,6.324603261648592,11.076753240787623,6.384368576234917,-47.934124244529166,828,34,mean,0.05,10-18,none,0,-0.003808981432657177,0.0021373597627878382,-0.0037611978572007487
hour,6.324606380364351,11.074615881024835,6.384371655826465,-49.80393729682049,27,21,median,-0.3,10-16,absbias,250,-0.0038058627168986447,0.0,-0.0037581182656527545
hour,6.324606380364351,11.074615881024835,6.384371655826465,-49.80393729682049,27,34,median,-0.3,10-16,absbias,250,-0.0038058627168986447,0.0,-0.0037581182656527545
hour,6.324606380364351,11.074615881024835,6.384371655826465,-49.80393729682049,27,55,median,-0.3,10-16,absbias,250,-0.0038058627168986447,0.0,-0.0037581182656527545
hour,6.3246473463684145,11.074615881024835,6.384412107913046,-50.38174287882213,67,21,median,-0.2,11-15,absbias,100,-0.0037648967128349753,0.0,-0.003717666179071877
hour,6.324680844710348,11.075894361377166,6.38444518601913,-47.75451937101906,828,55,mean,0.05,10-18,none,0,-0.0037313983709017506,0.001278480352331357,-0.003684588072987438
hour,6.324696764331823,11.067883996238427,6.384460905929358,-51.05970717446497,430,21,median,-0.3,11-15,wmape,10,-0.0037154787494264596,-0.00673188478640796,-0.0036688681627596864
day,6.32469680398231,11.046930384819092,6.384460945082432,-49.41056025393424,24,14,mean,0.8,all,wmape,12,-0.0037154390989391217,-0.02768549620574312,-0.0036688290096860143
hour,6.324725545050809,11.07677704017819,6.384489325594956,-50.27848753776167,139,5,median,-0.1,11-15,absbias,100,-0.0036866980304406383,0.002161159153354575,-0.003640448497161941
hour,6.324844288484828,11.06449865374298,6.384606579395605,-50.336063349471644,353,8,median,-0.2,11-15,wmape,15,-0.003567954596421785,-0.010117227281854824,-0.0035231946965126326
hour,6.324846267831101,11.069372274695521,6.384608533911031,-50.318710918174574,362,21,median,-0.2,11-15,wmape,15,-0.0035659752501482345,-0.005243606329313977,-0.0035212401810866822
day,6.324910888760199,11.04852563188091,6.384672344172213,-50.80091052709565,96,5,mean,0.2,all,wmape,12,-0.003501354321050698,-0.026090249143924993,-0.003457429919905053
hour,6.324912682214011,11.074615881024835,6.38467411512719,-50.32756086698408,66,55,median,-0.2,11-15,absbias,100,-0.0034995608672385714,0.0,-0.0034556589649277214
