i,j,first_kind,second_kind,wmape_3m,wmape_14d,wmape_all,bias_3m,applied1,applied2,first_rolling,first_stat,first_beta,first_hours,first_gate,first_thr,second_rolling,second_stat,second_beta,second_hours,second_gate,second_thr
0,23,hour,hour,6.316576378470451,11.033051254212998,6.376442390102639,-50.08601571343482,21,322,21,median,-0.5,11-15,absbias,250,2,mean,-0.1,7-18,wmape,35
0,24,hour,hour,6.316576378470451,11.033051254212998,6.376442390102639,-50.08601571343482,21,322,21,median,-0.5,11-15,absbias,250,2,median,-0.1,7-18,wmape,35
1,23,hour,hour,6.316576378470451,11.033051254212998,6.376442390102639,-50.08601571343482,21,322,34,median,-0.5,11-15,absbias,250,2,mean,-0.1,7-18,wmape,35
1,24,hour,hour,6.316576378470451,11.033051254212998,6.376442390102639,-50.08601571343482,21,322,34,median,-0.5,11-15,absbias,250,2,median,-0.1,7-18,wmape,35
2,23,hour,hour,6.316576378470451,11.033051254212998,6.376442390102639,-50.08601571343482,21,322,55,median,-0.5,11-15,absbias,250,2,mean,-0.1,7-18,wmape,35
2,24,hour,hour,6.316576378470451,11.033051254212998,6.376442390102639,-50.08601571343482,21,322,55,median,-0.5,11-15,absbias,250,2,median,-0.1,7-18,wmape,35
0,31,hour,day,6.316732531424342,11.043513198134761,6.376596584121685,-51.05512119124428,21,20,21,median,-0.5,11-15,absbias,250,5,mean,0.8,19-23,wmape,12
1,31,hour,day,6.316732531424342,11.043513198134761,6.376596584121685,-51.05512119124428,21,20,34,median,-0.5,11-15,absbias,250,5,mean,0.8,19-23,wmape,12
2,31,hour,day,6.316732531424342,11.043513198134761,6.376596584121685,-51.05512119124428,21,20,55,median,-0.5,11-15,absbias,250,5,mean,0.8,19-23,wmape,12
31,0,day,hour,6.316732531424342,11.043513198134761,6.376596584121685,-51.05512119124428,20,21,5,mean,0.8,19-23,wmape,12,21,median,-0.5,11-15,absbias,250
31,1,day,hour,6.316732531424342,11.043513198134761,6.376596584121685,-51.05512119124428,20,21,5,mean,0.8,19-23,wmape,12,34,median,-0.5,11-15,absbias,250
31,2,day,hour,6.316732531424342,11.043513198134761,6.376596584121685,-51.05512119124428,20,21,5,mean,0.8,19-23,wmape,12,55,median,-0.5,11-15,absbias,250
3,23,hour,hour,6.317167114487075,11.033051254212998,6.377025715350919,-49.9659256550686,21,323,21,median,-0.3,11-15,absbias,250,2,mean,-0.1,7-18,wmape,35
3,24,hour,hour,6.317167114487075,11.033051254212998,6.377025715350919,-49.9659256550686,21,323,21,median,-0.3,11-15,absbias,250,2,median,-0.1,7-18,wmape,35
4,23,hour,hour,6.317167114487075,11.033051254212998,6.377025715350919,-49.9659256550686,21,323,34,median,-0.3,11-15,absbias,250,2,mean,-0.1,7-18,wmape,35
4,24,hour,hour,6.317167114487075,11.033051254212998,6.377025715350919,-49.9659256550686,21,323,34,median,-0.3,11-15,absbias,250,2,median,-0.1,7-18,wmape,35
5,23,hour,hour,6.317167114487075,11.033051254212998,6.377025715350919,-49.9659256550686,21,323,55,median,-0.3,11-15,absbias,250,2,mean,-0.1,7-18,wmape,35
5,24,hour,hour,6.317167114487075,11.033051254212998,6.377025715350919,-49.9659256550686,21,323,55,median,-0.3,11-15,absbias,250,2,median,-0.1,7-18,wmape,35
3,31,hour,day,6.317387616081296,11.043513198134761,6.377243450758234,-50.935869737151904,21,20,21,median,-0.3,11-15,absbias,250,5,mean,0.8,19-23,wmape,12
4,31,hour,day,6.317387616081296,11.043513198134761,6.377243450758234,-50.935869737151904,21,20,34,median,-0.3,11-15,absbias,250,5,mean,0.8,19-23,wmape,12
5,31,hour,day,6.317387616081296,11.043513198134761,6.377243450758234,-50.935869737151904,21,20,55,median,-0.3,11-15,absbias,250,5,mean,0.8,19-23,wmape,12
31,3,day,hour,6.317387616081296,11.043513198134761,6.377243450758234,-50.935869737151904,20,21,5,mean,0.8,19-23,wmape,12,21,median,-0.3,11-15,absbias,250
31,4,day,hour,6.317387616081296,11.043513198134761,6.377243450758234,-50.935869737151904,20,21,5,mean,0.8,19-23,wmape,12,34,median,-0.3,11-15,absbias,250
31,5,day,hour,6.317387616081296,11.043513198134761,6.377243450758234,-50.935869737151904,20,21,5,mean,0.8,19-23,wmape,12,55,median,-0.3,11-15,absbias,250
0,45,hour,day,6.317514811171625,11.049342334987369,6.377369050189381,-50.68042399901803,21,20,21,median,-0.5,11-15,absbias,250,5,mean,0.5,19-23,wmape,12
1,45,hour,day,6.317514811171625,11.049342334987369,6.377369050189381,-50.68042399901803,21,20,34,median,-0.5,11-15,absbias,250,5,mean,0.5,19-23,wmape,12
2,45,hour,day,6.317514811171625,11.049342334987369,6.377369050189381,-50.68042399901803,21,20,55,median,-0.5,11-15,absbias,250,5,mean,0.5,19-23,wmape,12
45,0,day,hour,6.317514811171625,11.049342334987369,6.377369050189381,-50.68042399901803,20,21,5,mean,0.5,19-23,wmape,12,21,median,-0.5,11-15,absbias,250
45,1,day,hour,6.317514811171625,11.049342334987369,6.377369050189381,-50.68042399901803,20,21,5,mean,0.5,19-23,wmape,12,34,median,-0.5,11-15,absbias,250
45,2,day,hour,6.317514811171625,11.049342334987369,6.377369050189381,-50.68042399901803,20,21,5,mean,0.5,19-23,wmape,12,55,median,-0.5,11-15,absbias,250
0,55,hour,hour,6.3175968841145345,11.059823827348692,6.377450093529302,-50.559531051312426,21,307,21,median,-0.5,11-15,absbias,250,2,mean,-0.1,10-18,wmape,35
0,56,hour,hour,6.3175968841145345,11.059823827348692,6.377450093529302,-50.559531051312426,21,307,21,median,-0.5,11-15,absbias,250,2,median,-0.1,10-18,wmape,35
1,55,hour,hour,6.3175968841145345,11.059823827348692,6.377450093529302,-50.559531051312426,21,307,34,median,-0.5,11-15,absbias,250,2,mean,-0.1,10-18,wmape,35
1,56,hour,hour,6.3175968841145345,11.059823827348692,6.377450093529302,-50.559531051312426,21,307,34,median,-0.5,11-15,absbias,250,2,median,-0.1,10-18,wmape,35
2,55,hour,hour,6.3175968841145345,11.059823827348692,6.377450093529302,-50.559531051312426,21,307,55,median,-0.5,11-15,absbias,250,2,mean,-0.1,10-18,wmape,35
2,56,hour,hour,6.3175968841145345,11.059823827348692,6.377450093529302,-50.559531051312426,21,307,55,median,-0.5,11-15,absbias,250,2,median,-0.1,10-18,wmape,35
0,40,hour,hour,6.317838917666629,11.041080010901066,6.3776890907766255,-49.61768708506505,21,71,21,median,-0.5,11-15,absbias,250,2,median,-0.1,"7-9,11,17,18",wmape,35
0,41,hour,hour,6.317838917666629,11.041080010901066,6.3776890907766255,-49.61768708506505,21,71,21,median,-0.5,11-15,absbias,250,2,mean,-0.1,"7-9,11,17,18",wmape,35
1,40,hour,hour,6.317838917666629,11.041080010901066,6.3776890907766255,-49.61768708506505,21,71,34,median,-0.5,11-15,absbias,250,2,median,-0.1,"7-9,11,17,18",wmape,35
1,41,hour,hour,6.317838917666629,11.041080010901066,6.3776890907766255,-49.61768708506505,21,71,34,median,-0.5,11-15,absbias,250,2,mean,-0.1,"7-9,11,17,18",wmape,35
2,40,hour,hour,6.317838917666629,11.041080010901066,6.3776890907766255,-49.61768708506505,21,71,55,median,-0.5,11-15,absbias,250,2,median,-0.1,"7-9,11,17,18",wmape,35
2,41,hour,hour,6.317838917666629,11.041080010901066,6.3776890907766255,-49.61768708506505,21,71,55,median,-0.5,11-15,absbias,250,2,mean,-0.1,"7-9,11,17,18",wmape,35
3,45,hour,day,6.318169895828578,11.049342334987369,6.37801591682593,-50.561172544925654,21,20,21,median,-0.3,11-15,absbias,250,5,mean,0.5,19-23,wmape,12
4,45,hour,day,6.318169895828578,11.049342334987369,6.37801591682593,-50.561172544925654,21,20,34,median,-0.3,11-15,absbias,250,5,mean,0.5,19-23,wmape,12
5,45,hour,day,6.318169895828578,11.049342334987369,6.37801591682593,-50.561172544925654,21,20,55,median,-0.3,11-15,absbias,250,5,mean,0.5,19-23,wmape,12
45,3,day,hour,6.318169895828578,11.049342334987369,6.37801591682593,-50.561172544925654,20,21,5,mean,0.5,19-23,wmape,12,21,median,-0.3,11-15,absbias,250
45,4,day,hour,6.318169895828578,11.049342334987369,6.37801591682593,-50.561172544925654,20,21,5,mean,0.5,19-23,wmape,12,34,median,-0.3,11-15,absbias,250
45,5,day,hour,6.318169895828578,11.049342334987369,6.37801591682593,-50.561172544925654,20,21,5,mean,0.5,19-23,wmape,12,55,median,-0.3,11-15,absbias,250
3,55,hour,hour,6.318187620131158,11.059823827348692,6.378033418777583,-50.43944099294621,21,308,21,median,-0.3,11-15,absbias,250,2,mean,-0.1,10-18,wmape,35
3,56,hour,hour,6.318187620131158,11.059823827348692,6.378033418777583,-50.43944099294621,21,308,21,median,-0.3,11-15,absbias,250,2,median,-0.1,10-18,wmape,35
4,55,hour,hour,6.318187620131158,11.059823827348692,6.378033418777583,-50.43944099294621,21,308,34,median,-0.3,11-15,absbias,250,2,mean,-0.1,10-18,wmape,35
4,56,hour,hour,6.318187620131158,11.059823827348692,6.378033418777583,-50.43944099294621,21,308,34,median,-0.3,11-15,absbias,250,2,median,-0.1,10-18,wmape,35
5,55,hour,hour,6.318187620131158,11.059823827348692,6.378033418777583,-50.43944099294621,21,308,55,median,-0.3,11-15,absbias,250,2,mean,-0.1,10-18,wmape,35
5,56,hour,hour,6.318187620131158,11.059823827348692,6.378033418777583,-50.43944099294621,21,308,55,median,-0.3,11-15,absbias,250,2,median,-0.1,10-18,wmape,35
40,0,hour,hour,6.318384257159244,11.041080010901066,6.37822758899914,-49.64824041496085,72,21,2,median,-0.1,"7-9,11,17,18",wmape,35,21,median,-0.5,11-15,absbias,250
40,1,hour,hour,6.318384257159244,11.041080010901066,6.37822758899914,-49.64824041496085,72,21,2,median,-0.1,"7-9,11,17,18",wmape,35,34,median,-0.5,11-15,absbias,250
40,2,hour,hour,6.318384257159244,11.041080010901066,6.37822758899914,-49.64824041496085,72,21,2,median,-0.1,"7-9,11,17,18",wmape,35,55,median,-0.5,11-15,absbias,250
41,0,hour,hour,6.318384257159244,11.041080010901066,6.37822758899914,-49.648240414960846,72,21,2,mean,-0.1,"7-9,11,17,18",wmape,35,21,median,-0.5,11-15,absbias,250
41,1,hour,hour,6.318384257159244,11.041080010901066,6.37822758899914,-49.648240414960846,72,21,2,mean,-0.1,"7-9,11,17,18",wmape,35,34,median,-0.5,11-15,absbias,250
41,2,hour,hour,6.318384257159244,11.041080010901066,6.37822758899914,-49.648240414960846,72,21,2,mean,-0.1,"7-9,11,17,18",wmape,35,55,median,-0.5,11-15,absbias,250
11,23,hour,hour,6.318448850940044,11.038575680379859,6.378291372452598,-50.19739735533522,26,322,13,median,-0.5,11-15,absbias,250,2,mean,-0.1,7-18,wmape,35
11,24,hour,hour,6.318448850940044,11.038575680379859,6.378291372452598,-50.19739735533522,26,322,13,median,-0.5,11-15,absbias,250,2,median,-0.1,7-18,wmape,35
31,6,day,hour,6.318450358086852,11.043450744087677,6.378292860692289,-51.78921135535669,20,460,5,mean,0.8,19-23,wmape,12,5,median,-0.2,11-15,none,0
3,40,hour,hour,6.3184940023235825,11.041080010901066,6.378335957413173,-49.49843563097267,21,71,21,median,-0.3,11-15,absbias,250,2,median,-0.1,"7-9,11,17,18",wmape,35
3,41,hour,hour,6.3184940023235825,11.041080010901066,6.378335957413173,-49.498435630972665,21,71,21,median,-0.3,11-15,absbias,250,2,mean,-0.1,"7-9,11,17,18",wmape,35
4,40,hour,hour,6.3184940023235825,11.041080010901066,6.378335957413173,-49.49843563097267,21,71,34,median,-0.3,11-15,absbias,250,2,median,-0.1,"7-9,11,17,18",wmape,35
4,41,hour,hour,6.3184940023235825,11.041080010901066,6.378335957413173,-49.498435630972665,21,71,34,median,-0.3,11-15,absbias,250,2,mean,-0.1,"7-9,11,17,18",wmape,35
5,40,hour,hour,6.3184940023235825,11.041080010901066,6.378335957413173,-49.49843563097267,21,71,55,median,-0.3,11-15,absbias,250,2,median,-0.1,"7-9,11,17,18",wmape,35
5,41,hour,hour,6.3184940023235825,11.041080010901066,6.378335957413173,-49.498435630972665,21,71,55,median,-0.3,11-15,absbias,250,2,mean,-0.1,"7-9,11,17,18",wmape,35
8,23,hour,hour,6.318497523875408,11.037815538895321,6.378339434787223,-50.045432061062535,26,324,13,median,-0.3,11-15,absbias,250,2,mean,-0.1,7-18,wmape,35
8,24,hour,hour,6.318497523875408,11.037815538895321,6.378339434787223,-50.045432061062535,26,324,13,median,-0.3,11-15,absbias,250,2,median,-0.1,7-18,wmape,35
6,31,hour,day,6.318522953948401,11.043991690230495,6.3783645458405935,-51.7965681980615,460,20,5,median,-0.2,11-15,none,0,5,mean,0.8,19-23,wmape,12
0,51,hour,day,6.318583793242589,11.057307826624193,6.3784246219073815,-51.304929323492686,21,20,21,median,-0.5,11-15,absbias,250,5,mean,1.0,19-23,wmape,12
1,51,hour,day,6.318583793242589,11.057307826624193,6.3784246219073815,-51.304929323492686,21,20,34,median,-0.5,11-15,absbias,250,5,mean,1.0,19-23,wmape,12
2,51,hour,day,6.318583793242589,11.057307826624193,6.3784246219073815,-51.304929323492686,21,20,55,median,-0.5,11-15,absbias,250,5,mean,1.0,19-23,wmape,12
51,0,day,hour,6.318583793242589,11.057307826624193,6.3784246219073815,-51.304929323492686,20,21,5,mean,1.0,19-23,wmape,12,21,median,-0.5,11-15,absbias,250
51,1,day,hour,6.318583793242589,11.057307826624193,6.3784246219073815,-51.304929323492686,20,21,5,mean,1.0,19-23,wmape,12,34,median,-0.5,11-15,absbias,250
51,2,day,hour,6.318583793242589,11.057307826624193,6.3784246219073815,-51.304929323492686,20,21,5,mean,1.0,19-23,wmape,12,55,median,-0.5,11-15,absbias,250
23,6,hour,hour,6.318632956431733,11.030779142365708,6.378473168345564,-50.847409314143746,325,460,2,mean,-0.1,7-18,wmape,35,5,median,-0.2,11-15,none,0
24,6,hour,hour,6.318632956431733,11.030779142365708,6.378473168345564,-50.847409314143746,325,460,2,median,-0.1,7-18,wmape,35,5,median,-0.2,11-15,none,0
8,31,hour,day,6.318720975664117,11.048391740052631,6.378560083378909,-51.01951079558705,26,20,13,median,-0.3,11-15,absbias,250,5,mean,0.8,19-23,wmape,12
7,31,hour,day,6.318721279939905,11.04234292188429,6.3785603838375655,-51.7703451928094,80,20,13,median,-0.3,11-15,absbias,100,5,mean,0.8,19-23,wmape,12
31,7,day,hour,6.318729163307149,11.042401664586869,6.378568168308167,-51.7693192180909,20,80,5,mean,0.8,19-23,wmape,12,13,median,-0.3,11-15,absbias,100
31,8,day,hour,6.318743130064992,11.04855682298497,6.378581959853387,-51.02075202371698,20,26,5,mean,0.8,19-23,wmape,12,13,median,-0.3,11-15,absbias,250
14,10,hour,hour,6.318754890714348,11.079661222046788,6.378593572965697,-50.849148456726354,21,142,55,median,-0.2,11-15,absbias,250,5,median,-0.2,11-15,absbias,100
15,10,hour,hour,6.318754890714348,11.079661222046788,6.378593572965697,-50.849148456726354,21,142,21,median,-0.2,11-15,absbias,250,5,median,-0.2,11-15,absbias,100
16,10,hour,hour,6.318754890714348,11.079661222046788,6.378593572965697,-50.849148456726354,21,142,34,median,-0.2,11-15,absbias,250,5,median,-0.2,11-15,absbias,100
0,53,hour,day,6.318839922973142,11.059216370539067,6.3786775384969605,-50.430625870867196,21,20,21,median,-0.5,11-15,absbias,250,5,mean,0.3,19-23,wmape,12
1,53,hour,day,6.318839922973142,11.059216370539067,6.3786775384969605,-50.430625870867196,21,20,34,median,-0.5,11-15,absbias,250,5,mean,0.3,19-23,wmape,12
2,53,hour,day,6.318839922973142,11.059216370539067,6.3786775384969605,-50.430625870867196,21,20,55,median,-0.5,11-15,absbias,250,5,mean,0.3,19-23,wmape,12
53,0,day,hour,6.318839922973142,11.059216370539067,6.3786775384969605,-50.430625870867196,20,21,5,mean,0.3,19-23,wmape,12,21,median,-0.5,11-15,absbias,250
53,1,day,hour,6.318839922973142,11.059216370539067,6.3786775384969605,-50.430625870867196,20,21,5,mean,0.3,19-23,wmape,12,34,median,-0.5,11-15,absbias,250
53,2,day,hour,6.318839922973142,11.059216370539067,6.3786775384969605,-50.430625870867196,20,21,5,mean,0.3,19-23,wmape,12,55,median,-0.5,11-15,absbias,250
31,9,day,hour,6.318876531256248,11.049676620596367,6.378713687530083,-52.229684102972364,20,460,5,mean,0.8,19-23,wmape,12,5,median,-0.3,11-15,none,0
31,10,day,hour,6.31887932466567,11.048558539156714,6.378716445896254,-51.75389069182164,20,139,5,mean,0.8,19-23,wmape,12,5,median,-0.2,11-15,absbias,100
3,38,hour,hour,6.318935567469828,11.074168340179925,6.378771983135861,-50.50126780475169,21,460,21,median,-0.3,11-15,absbias,250,5,median,-0.1,11-15,none,0
4,38,hour,hour,6.318935567469828,11.074168340179925,6.378771983135861,-50.50126780475169,21,460,34,median,-0.3,11-15,absbias,250,5,median,-0.1,11-15,none,0
5,38,hour,hour,6.318935567469828,11.074168340179925,6.378771983135861,-50.50126780475169,21,460,55,median,-0.3,11-15,absbias,250,5,median,-0.1,11-15,none,0
10,31,hour,day,6.318940035214917,11.049010922209174,6.378776394833201,-51.760147756098235,139,20,5,median,-0.2,11-15,absbias,100,5,mean,0.8,19-23,wmape,12
11,31,hour,day,6.318955044352053,11.051645941519855,6.378791215681091,-51.188787478290344,26,20,13,median,-0.5,11-15,absbias,250,5,mean,0.8,19-23,wmape,12
31,11,day,hour,6.318989163662134,11.051900180656773,6.378824906965293,-51.19069905548371,20,26,5,mean,0.8,19-23,wmape,12,13,median,-0.5,11-15,absbias,250
9,31,hour,day,6.31899349740889,11.050548190790066,6.378829186345306,-52.24162111815627,460,20,5,median,-0.3,11-15,none,0,5,mean,0.8,19-23,wmape,12
14,6,hour,hour,6.3189978828811135,11.074553426977753,6.378833516801895,-50.937710974526496,21,460,55,median,-0.2,11-15,absbias,250,5,median,-0.2,11-15,none,0
15,6,hour,hour,6.3189978828811135,11.074553426977753,6.378833516801895,-50.937710974526496,21,460,21,median,-0.2,11-15,absbias,250,5,median,-0.2,11-15,none,0
16,6,hour,hour,6.3189978828811135,11.074553426977753,6.378833516801895,-50.937710974526496,21,460,34,median,-0.2,11-15,absbias,250,5,median,-0.2,11-15,none,0
52,0,day,hour,6.319023541607644,11.058601192413366,6.37885885364035,-50.19413524484498,75,21,3,mean,-0.1,19-23,wmape,10,21,median,-0.5,11-15,absbias,250
52,1,day,hour,6.319023541607644,11.058601192413366,6.37885885364035,-50.19413524484498,75,21,3,mean,-0.1,19-23,wmape,10,34,median,-0.5,11-15,absbias,250
52,2,day,hour,6.319023541607644,11.058601192413366,6.37885885364035,-50.19413524484498,75,21,3,mean,-0.1,19-23,wmape,10,55,median,-0.5,11-15,absbias,250
0,52,hour,day,6.319027832760388,11.058601192413366,6.3788630909606905,-50.19453594021358,21,75,21,median,-0.5,11-15,absbias,250,3,mean,-0.1,19-23,wmape,10
1,52,hour,day,6.319027832760388,11.058601192413366,6.3788630909606905,-50.19453594021358,21,75,34,median,-0.5,11-15,absbias,250,3,mean,-0.1,19-23,wmape,10
2,52,hour,day,6.319027832760388,11.058601192413366,6.3788630909606905,-50.19453594021358,21,75,55,median,-0.5,11-15,absbias,250,3,mean,-0.1,19-23,wmape,10
40,3,hour,hour,6.319039341816198,11.041080010901066,6.378874455635687,-49.528988960868475,72,21,2,median,-0.1,"7-9,11,17,18",wmape,35,21,median,-0.3,11-15,absbias,250
40,4,hour,hour,6.319039341816198,11.041080010901066,6.378874455635687,-49.528988960868475,72,21,2,median,-0.1,"7-9,11,17,18",wmape,35,34,median,-0.3,11-15,absbias,250
40,5,hour,hour,6.319039341816198,11.041080010901066,6.378874455635687,-49.528988960868475,72,21,2,median,-0.1,"7-9,11,17,18",wmape,35,55,median,-0.3,11-15,absbias,250
41,3,hour,hour,6.319039341816198,11.041080010901066,6.378874455635687,-49.528988960868475,72,21,2,mean,-0.1,"7-9,11,17,18",wmape,35,21,median,-0.3,11-15,absbias,250
41,4,hour,hour,6.319039341816198,11.041080010901066,6.378874455635687,-49.528988960868475,72,21,2,mean,-0.1,"7-9,11,17,18",wmape,35,34,median,-0.3,11-15,absbias,250
41,5,hour,hour,6.319039341816198,11.041080010901066,6.378874455635687,-49.528988960868475,72,21,2,mean,-0.1,"7-9,11,17,18",wmape,35,55,median,-0.3,11-15,absbias,250
7,23,hour,hour,6.319043667669735,11.032070724390424,6.378878727221505,-50.787010863233164,80,323,13,median,-0.3,11-15,absbias,100,2,mean,-0.1,7-18,wmape,35
7,24,hour,hour,6.319043667669735,11.032070724390424,6.378878727221505,-50.787010863233164,80,323,13,median,-0.3,11-15,absbias,100,2,median,-0.1,7-18,wmape,35
