period,category,metric,value_text,value_min,value_max,unit,source,published_date,source_url,notes
2026-04,nuclear,operating_units,seven nuclear units,7,7,units,Razumkov Centre Ukraine's Energy Sector in April 2026,2026-06-08,https://razumkov.org.ua/images/2026/06/08/2026_ENERGY_MAY_ENGL.pdf,Two reactors remained under maintenance; a third planned maintenance outage was postponed because available generation was short.
2026-04,nuclear,output,up to 5.5 GW,,5.5,GW,Razumkov Centre Ukraine's Energy Sector in April 2026,2026-06-08,https://razumkov.org.ua/images/2026/06/08/2026_ENERGY_MAY_ENGL.pdf,Base capacity of Ukraine IPS.
2026-04,thermal_hydro_storage,combined_manoeuvrable_output,up to 3.5 GW,,3.5,GW,Razumkov Centre Ukraine's Energy Sector in April 2026,2026-06-08,https://razumkov.org.ua/images/2026/06/08/2026_ENERGY_MAY_ENGL.pdf,Up to 10 units at TPPs and CHPPs plus HPPs and PSPPs.
2026-04,renewables,output,1.8-2.0 GW,1.8,2.0,GW,Razumkov Centre Ukraine's Energy Sector in April 2026,2026-06-08,https://razumkov.org.ua/images/2026/06/08/2026_ENERGY_MAY_ENGL.pdf,Renewable energy facilities.
2026-04,renewables,seasonal_peak_output,almost 3.5 GW,,3.5,GW,Razumkov Centre Ukraine's Energy Sector in April 2026,2026-06-08,https://razumkov.org.ua/images/2026/06/08/2026_ENERGY_MAY_ENGL.pdf,Seasonal factors increased renewable output and created daylight curtailment needs.
2026-04,ukrhydroenergo,output,2.0 GW,2.0,2.0,GW,Razumkov Centre Ukraine's Energy Sector in April 2026,2026-06-08,https://razumkov.org.ua/images/2026/06/08/2026_ENERGY_MAY_ENGL.pdf,Spring runoff increased generation at Ukrhydroenergo facilities in April.
2026-04,nuclear,generation_share,47-49%,47,49,percent,Razumkov Centre Ukraine's Energy Sector in April 2026,2026-06-08,https://razumkov.org.ua/images/2026/06/08/2026_ENERGY_MAY_ENGL.pdf,Share of total generation.
2026-04,tpp_chpp,generation_share,not above 15-17%,15,17,percent,Razumkov Centre Ukraine's Energy Sector in April 2026,2026-06-08,https://razumkov.org.ua/images/2026/06/08/2026_ENERGY_MAY_ENGL.pdf,Share of total generation.
2026-04,renewables,generation_share,up to 22%,,22,percent,Razumkov Centre Ukraine's Energy Sector in April 2026,2026-06-08,https://razumkov.org.ua/images/2026/06/08/2026_ENERGY_MAY_ENGL.pdf,Share of total generation.
2026-04,hpp,generation_share,14-16%,14,16,percent,Razumkov Centre Ukraine's Energy Sector in April 2026,2026-06-08,https://razumkov.org.ua/images/2026/06/08/2026_ENERGY_MAY_ENGL.pdf,Share of total generation.
2026-04,total,hourly_generation,12 GW,12,12,GW,Razumkov Centre Ukraine's Energy Sector in April 2026,2026-06-08,https://razumkov.org.ua/images/2026/06/08/2026_ENERGY_MAY_ENGL.pdf,Overall electricity production in Ukraine reached 12 GW; compared with 11 GW one year earlier and up to 15 GW in corresponding period of 2021.
